UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000196912.12,ANKRD36B,1.42387760651771,3.06292225580345e-15,4.83548503424647e-13,1.37670298067767,2.75090774098196e-14,5.17537443003407e-12,NA,NA,NA,NA,NA,NA
ENSG00000188993.3,LRRC66,1.42366047946049,0.000227540254305506,0.00256283087353343,0.469215669630061,0.120900785269488,0.402634035734468,0.0592494755851504,0.0102347929455331,0.791173340333002,NA,NA,NA
ENSG00000270231.4,NBPF8,1.42236218596014,1.09787718782762e-14,1.5360419457241e-12,1.36049212449078,1.87948883065419e-13,2.7026331108821e-11,NA,NA,NA,NA,NA,NA
ENSG00000166004.15,CEP295,1.42159828579505,2.89627834687351e-14,3.59955019014359e-12,1.548276425921,6.56670765949198e-17,3.80128184924849e-14,NA,NA,NA,NA,NA,NA
ENSG00000213185.7,FAM24B,1.42124913260968,1.41679343836874e-06,2.91402981403922e-05,0.800431984096125,0.00427960776367023,0.0287292372502584,NA,NA,NA,NA,NA,NA
ENSG00000171163.16,ZNF692,1.42091622735951,3.22825838539789e-10,1.6048565356345e-08,1.34418813272754,3.32715222602161e-09,1.39099608619748e-07,NA,NA,NA,NA,NA,NA
ENSG00000237877.7,LINC01473,1.41965917367369,0.000490628912534306,0.00498414980059306,1.80309509118605,3.05411214262233e-05,0.00044085444841331,NA,NA,NA,NA,NA,NA
ENSG00000187951.11,AC091057.1,1.41950256018752,3.25410202493127e-14,3.98073789594341e-12,1.41708361595652,3.65552656064428e-14,6.49820217583507e-12,NA,NA,NA,NA,NA,NA
ENSG00000149716.13,LTO1,1.41944261093049,2.66625284276262e-17,7.41630924656531e-15,1.21240531387958,1.3253258977655e-12,1.48858494865442e-10,NA,NA,NA,NA,NA,NA
ENSG00000056487.16,PHF21B,1.41841038699217,7.43565053559449e-13,6.71490490200111e-11,1.32133820196579,3.21453905407925e-11,2.34101398983526e-09,NA,NA,NA,NA,NA,NA
ENSG00000231856.2,AL162377.1,1.41767639590151,2.54995958621543e-08,7.98674047578923e-07,1.45268723511822,1.22656869316924e-08,4.39539917729982e-07,NA,NA,NA,NA,NA,NA
ENSG00000250151.9,ARPC4-TTLL3,1.41758081624291,6.94766797195504e-09,2.50899941521993e-07,1.08572376498329,9.3759937301324e-06,0.000159032632946258,NA,NA,NA,NA,NA,NA
ENSG00000138050.15,THUMPD2,1.41180977663621,4.88109142612529e-16,9.2720895261315e-14,1.15199066408988,1.08110132343342e-10,6.79859149800356e-09,NA,NA,NA,NA,NA,NA
ENSG00000172766.19,NAA16,1.4112733853742,2.43362834144729e-16,5.21667212824917e-14,1.31899894992501,2.91429659594626e-14,5.39288196312153e-12,NA,NA,NA,NA,NA,NA
ENSG00000287045.1,AC072028.1,1.41014647845511,0.0121079741815461,0.0724463039057169,0.34520883372801,0.114049908646307,0.385541115753672,NA,NA,NA,NA,NA,NA
ENSG00000212127.6,TAS2R14,1.40869731157617,1.14004392005856e-06,2.38368116160235e-05,1.25010281671117,1.47532389441642e-05,0.000235884647594511,NA,NA,NA,NA,NA,NA
ENSG00000264538.6,SUZ12P1,1.40492976184975,7.79144725886078e-15,1.10331615274716e-12,1.17372584094876,1.9697680594566e-10,1.13153902570718e-08,NA,NA,NA,NA,NA,NA
ENSG00000189060.5,H1-0,1.40492704636695,3.99130656984122e-14,4.80705556723403e-12,1.37792822080109,1.34981518794326e-13,2.01810779357662e-11,NA,NA,NA,NA,NA,NA
ENSG00000180257.13,ZNF816,1.40472749861394,2.53902755542823e-12,2.00420198758718e-10,1.31589459734168,6.739220131805e-11,4.43887579280907e-09,NA,NA,NA,NA,NA,NA
ENSG00000087074.8,PPP1R15A,1.40367843379931,6.66606878018171e-11,4.01424476930273e-09,1.02712604491469,3.5991292639209e-06,6.77339780610897e-05,NA,NA,NA,NA,NA,NA
ENSG00000132773.12,TOE1,1.40355241776318,2.72851602707822e-16,5.64175017457369e-14,1.1636311781207,3.38582273259732e-11,2.4266137781307e-09,NA,NA,NA,NA,NA,NA
