,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2197306_10x_vs_GM_DMSO,dPSI_GM_BIO_2197306_3x_vs_GM_DMSO
OCLNP1,NA,NA,0.5752,NA
PDE7A,0.391775711056322,NA,0.784,0.43309550188027
PDXDC1,0.417331733850713,NA,0.745568461100621,NA
PDXDC2P,0.7405,NA,0.8524,0.5072
PHB2,NA,NA,0.516278251339509,NA
PMS1,0.30167652602251,NA,NA,NA
PNISR,NA,NA,0.324083359603968,NA
POMT2,0.766,0.388,0.887,0.543
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.253043826602386,NA
PRUNE2,0.494,NA,0.427,NA
RAB2B,NA,NA,0.389294438877261,NA
RAPGEF1,0.314,NA,0.445,0.297752654480234
RCC1,NA,NA,0.5062,0.4085
RPAIN,NA,NA,0.36,0.3
SAR1A,0.7061,NA,0.7211,0.4797
SDCBP2.AS1,NA,NA,0.352,NA
SENP6,0.74,NA,0.264294123676239,NA
SERGEF,0.253778290139916,NA,NA,NA
SKP1,NA,NA,0.6513,0.352
SLC12A4,NA,NA,NA,0.34
SLC25A17,0.399,NA,0.843,NA
SLC7A6,0.313667986220715,NA,0.329,NA
SMN2,0.45,0.382,0.454,0.405
SMTN,NA,NA,0.356,NA
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
SPATA18,NA,NA,0.429,NA
SPIDR,NA,NA,0.524669479798372,NA
STRN3,0.625,0.337,0.762,0.558
STXBP6,NA,NA,0.4596,NA
TAF2,NA,NA,0.555,0.372
TENT2,NA,NA,0.353090170297057,NA
TET1,NA,NA,0.317859089970444,NA
TEX26.AS1,0.4807,NA,0.5493,NA
TIAM1,NA,NA,0.571494241435114,NA
TJP2,NA,NA,0.25337871833219,NA
TMEM50B,NA,NA,0.288318380471923,NA
TPTEP2,0.792531134808141,0.5217,0.504091000338878,NA
TRIM65,NA,NA,0.337,0.321
VPS29,0.301,NA,0.584,0.404
WDR27,NA,NA,0.579152774933462,NA
WDR90,NA,NA,NA,0.357
WDR91,0.304616495223268,NA,NA,NA
YPEL5,NA,NA,0.457,NA
ZFP82,NA,NA,0.410196718803043,NA
ZNF138,NA,NA,0.338808560966857,NA
ZNF250,NA,NA,0.296540834019935,NA
ZNF37BP,NA,NA,NA,0.333188359826377
ZNF467,0.31,NA,NA,NA
ZNF618,NA,NA,0.366,NA
