,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2196772_10x_vs_GM_DMSO,dPSI_GM_BIO_2196772_3x_vs_GM_DMSO
CYB5R2,NA,NA,0.4,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,0.683,NA
DHFR,NA,NA,0.549497810276044,NA
DLGAP4,NA,NA,0.486,NA
DNAJC27,NA,NA,0.258032454859693,0.320158939376874
DPH1,NA,NA,0.440709650705615,NA
DRG2,0.304,NA,NA,NA
DYRK1A,NA,NA,0.4483,NA
EMSY,NA,NA,0.490313682656602,NA
ENAH,NA,NA,0.5523,0.3644
ERGIC3,NA,NA,0.617,0.334835940369285
ERRFI1,NA,NA,0.4751,NA
EVC,NA,NA,0.748358366455662,NA
EXOC6B,NA,NA,0.559,NA
FAAP20,NA,NA,0.435,NA
FAM135A,NA,NA,0.300947874748115,NA
FAM162A,0.316042385012033,NA,0.298905051243953,NA
FAM174A,0.302543099531048,NA,NA,NA
FAM3A,NA,NA,0.4377,NA
FBN2,0.748154577611698,0.689503472893666,0.757626608023267,0.72775069829313
FBXO31,NA,NA,0.339529612000026,NA
FOXM1,0.457,NA,0.301,NA
GALC,0.462,NA,0.355,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3814,NA
GNG12,NA,NA,0.770341717286496,0.531349153035429
GSDMB,0.408310001574108,NA,0.447440618975016,NA
GXYLT1,NA,NA,0.475586098042119,NA
HAUS3,NA,NA,0.5428,NA
HDX,NA,NA,0.712,0.343047440406944
HIKESHI,0.369,NA,0.444,NA
HTT,NA,NA,0.910005790646756,NA
KDM6A,NA,NA,0.793,0.377
KLHL23,NA,NA,NA,0.311
L3MBTL1,NA,NA,0.344,NA
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.844,0.741
LINC00265,NA,NA,0.292653941754771,NA
LINC00707,NA,NA,0.6564,NA
LINC02210,NA,NA,0.459,0.337515512555969
LRRC42,NA,NA,0.68,0.489
LYRM1,NA,NA,0.678,0.304
MADD,NA,NA,0.473,0.29328323979254
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.667848525540654,NA
MMS22L,NA,NA,0.51162805820594,NA
MYCBP2,NA,NA,0.398,NA
NGF,0.557932602094686,0.316605428815716,0.62634767865206,0.292267796879133
NIPA1,NA,NA,0.407150633581332,NA
NUP58,NA,NA,0.406727163758976,NA
OCLNP1,NA,NA,0.859189016890066,NA
PDE7A,0.391775711056322,NA,0.9,0.623956086404244
PDXDC1,0.417331733850713,NA,0.918580290646535,0.334166117437481
PDXDC2P,0.7405,NA,0.9523,0.6632
PHEX,NA,NA,0.5158,NA
PITPNB,NA,NA,0.396550075935766,NA
PMS1,0.30167652602251,NA,NA,NA
PNISR,NA,NA,0.392272158122612,NA
POMT2,0.766,0.388,0.933,0.67
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.286385588952867,NA
PRKACB,NA,NA,0.391,NA
PRUNE2,0.494,NA,0.43,NA
RAB2B,NA,NA,0.53812530181282,NA
RAPGEF1,0.314,NA,0.339,NA
RCC1,NA,NA,0.532524334846177,0.4441
SAR1A,0.7061,NA,0.5962,NA
SCLY,NA,NA,0.302,NA
SCO1,NA,NA,0.305197847429483,NA
SDCBP2.AS1,NA,NA,0.421,NA
SENP6,0.74,NA,0.257214983934825,0.4325
SERGEF,0.253778290139916,NA,0.251357299200138,NA
SF3B3,NA,NA,0.344506878769347,NA
SH3YL1,NA,NA,0.376,NA
SKP1,NA,NA,0.5487,0.4347
SLC25A17,0.399,NA,0.539,NA
SLC7A6,0.313667986220715,NA,0.474,NA
SMN2,0.45,0.382,0.453,0.424
SMTN,NA,NA,0.389,NA
SMUG1,NA,NA,0.325,NA
SNAP23,0.328,NA,0.312,NA
SOS2,0.277630626748413,NA,NA,NA
SPIDR,NA,NA,0.697413791601953,NA
SREK1,NA,NA,0.419,NA
STRN3,0.625,0.337,0.817,0.593
STRN4,NA,NA,0.254599867519304,NA
TAF2,NA,NA,0.654,0.409
TENT2,NA,NA,0.434892561012274,NA
TET1,NA,NA,0.545945817676686,NA
TEX26.AS1,0.4807,NA,0.6814,NA
TIAM1,NA,NA,0.656586395702556,0.437777432205506
TJP2,NA,NA,0.337051756679404,NA
TMEM237,NA,NA,0.431537854652568,NA
TNRC6A,NA,NA,0.4022,NA
TNS3,NA,NA,0.290622858394164,NA
TP53INP1,NA,NA,0.319,NA
TPTEP2,0.792531134808141,0.5217,0.65932766661578,NA
TRAF1,NA,NA,0.3508031640599,NA
TRIM65,NA,NA,0.337,0.337
UBP1,NA,NA,0.3,NA
VIM.AS1,NA,NA,0.6851,NA
VPS29,0.301,NA,0.708,0.449
WDR27,NA,NA,0.824149576207251,NA
WDR91,0.304616495223268,NA,NA,NA
WNK1,NA,NA,0.338464679540443,NA
XRN2,NA,NA,0.309639569751119,NA
YPEL5,NA,NA,0.373,NA
ZFP82,NA,NA,0.602989538412936,0.354132093304297
ZMIZ2,NA,NA,0.289544018442015,NA
ZMYM6,NA,NA,0.4222,NA
ZNF350,NA,NA,0.316828800299943,NA
ZNF37BP,NA,NA,NA,0.293998509589486
ZNF467,0.31,NA,NA,NA
ZNF618,NA,NA,0.441,NA
ZNF680,NA,NA,0.486215605340763,NA
