,SH_BIO_2196772_10x_vs_SH_Risdiplam_10x,SH_BIO_2207180_10x_vs_SH_Risdiplam_10x,SH_BIO_2178782_10x_vs_SH_Risdiplam_10x,SH_BIO_2196895_10x_vs_SH_Risdiplam_10x,SH_BIO_2197306_10x_vs_SH_Risdiplam_10x,SH_BIO_2204984_10x_vs_SH_Risdiplam_10x,SH_BIO_2199562_10x_vs_SH_Risdiplam_10x,SH_BIO_2196772_3x_vs_SH_Risdiplam_3x,SH_BIO_2207180_3x_vs_SH_Risdiplam_3x,SH_BIO_2178782_3x_vs_SH_Risdiplam_3x,SH_BIO_2196895_3x_vs_SH_Risdiplam_3x,SH_BIO_2197306_3x_vs_SH_Risdiplam_3x,SH_BIO_2204984_3x_vs_SH_Risdiplam_3x,SH_BIO_2199562_3x_vs_SH_Risdiplam_3x,SH_BIO_2196772_3x_vs_SH_DMSO,SH_BIO_1949634_3x_vs_SH_DMSO,SH_BIO_2207180_3x_vs_SH_DMSO,SH_BIO_2178782_3x_vs_SH_DMSO,SH_BIO_2196895_3x_vs_SH_DMSO,SH_BIO_2197306_3x_vs_SH_DMSO,SH_BIO_2204984_3x_vs_SH_DMSO,SH_BIO_2199562_3x_vs_SH_DMSO,SH_BIO_2196772_10x_vs_SH_DMSO,SH_BIO_1949634_10x_vs_SH_DMSO,SH_BIO_2207180_10x_vs_SH_DMSO,SH_BIO_2178782_10x_vs_SH_DMSO,SH_BIO_2196895_10x_vs_SH_DMSO,SH_BIO_2197306_10x_vs_SH_DMSO,SH_BIO_2204984_10x_vs_SH_DMSO,SH_BIO_2199562_10x_vs_SH_DMSO
ERICH2,1.23581187730404,NA,1.15298261137728,NA,NA,NA,1.28251049058412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59964510016914,2.23598000611444,NA,NA,2.15601941766428,NA,2.02594318912722,1.94283737322197,2.28149466217003
AGPS,-0.681417441921258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00141255418954,NA,NA,-0.715474609272567,NA,NA,-0.803872686238869,-0.70394828695287
ANKAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758772590450834,NA
PMS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09684337808134,-1.30245826187057,NA,-1.03667690575603,NA,NA,NA,NA
GPBAR1,-1.19683375418776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20784928747669,NA,NA,NA,NA,NA,NA,NA
CRYBA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02212610228807,NA,NA,NA,NA,NA,NA,NA,NA,1.02399556590625,NA,NA,NA,NA,NA,1.06382558280688,1.18956338585887
FARSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.626525266540237,NA,NA,NA,NA,NA,NA,NA
AC034198.2,NA,NA,NA,NA,NA,-2.06368179786734,NA,NA,-1.83043799963755,NA,NA,NA,-2.01640580556601,NA,NA,2.91472596743647,NA,3.20849653215667,NA,NA,NA,NA,2.73872156390252,3.6662158326002,NA,3.25622695005105,2.70234144309417,2.79912682745248,NA,NA
FBLN2,-0.6959468869415,NA,NA,NA,NA,NA,-0.748156974984759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.634494715663772,NA,NA,NA,NA,NA,NA,-0.685923038954795
TRANK1,-1.61026478626074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62342580623504,NA,NA,NA,NA,NA,NA,NA
AMT,-0.806764983854372,NA,NA,NA,NA,-0.770587724203966,-0.685735561976494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.830026596333456,NA,NA,NA,NA,NA,-0.792933803930291,-0.712843890439528
ITIH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76728018177419,NA,NA,NA,NA
ERC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.821994654195988,NA,NA,NA,NA
CIP2A,-1.31965306609883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.65589081207183,NA,NA,-0.999315328315309,NA,NA,-1.23206581058591,-1.14693971970604
LSAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736258702523185,NA,NA,NA,NA,NA,NA,-0.812954191940213
COL6A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11547327632633,NA,NA,NA,NA,NA,NA,-1.16561628603514
HLTF,-1.03700867225237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7483507592229,NA,NA,NA,NA,NA,-1.04310016342566,-0.964010531703838
KCNMB2-AS1,1.61143996204476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINC02037,NA,NA,NA,NA,NA,-0.944403918721378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.990697470769859,NA,NA,NA,NA,NA,-1.17963658964436,-1.03265895424723
POLN,1.56552428681426,NA,NA,NA,NA,NA,NA,NA,NA,2.32574026999244,NA,NA,NA,2.2609038651261,NA,NA,NA,3.2676434826676,NA,NA,NA,3.20712817282981,3.51677470961304,NA,NA,3.29310153903697,2.75412619175074,3.26466565060791,2.69397356129927,3.44397576668188
HTT,-1.64347965451851,NA,NA,NA,NA,NA,-1.36644657187679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00091070920134,NA,NA,NA,NA,-1.36927895928479,-1.19145166602757,-1.73201238570033
PHOX2B-AS1,1.50519749035227,NA,1.15470630830284,NA,NA,1.53454029741128,1.37739433409744,NA,NA,NA,NA,NA,NA,1.46169598226345,1.59244907125175,NA,NA,NA,NA,NA,NA,1.9733484477472,2.58741594763111,NA,NA,2.24646246098679,1.75659629199718,2.10222161141219,2.62032088008065,2.46305881384973
TMEM165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.590864205509491,NA,NA,NA,NA
AP002026.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07580486348786,1.00990429241317,NA,1.27338857923305,1.05970009637379,NA,NA,NA
CEP170P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00449314581363,NA,NA,NA,NA,NA,NA,NA
HPF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.761203658759005,-0.966634017951361,NA,NA,NA,NA,NA,NA
SPEF2,-1.13774475420097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17295669872248,NA,NA,NA,NA,NA,NA,NA
NLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.675630712486708,NA,NA,NA,NA,NA,NA,NA
SREK1,-1.34326243698799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79038309067373,NA,NA,-1.09116157492688,NA,NA,-1.26737757782783,-1.2310664002858
TENT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.842230145226211,NA,NA,-1.10252545964614,NA,NA,NA,-1.05380354207912,-1.44706959102286,-1.14657803746322,NA,-0.964948067170102,-0.956980158169156,-1.17106451750983,-1.27831576143786,-1.29632035498138
DHFR,-1.32465054612919,NA,NA,NA,NA,-1.22679659044946,-1.20877622759236,NA,NA,NA,NA,NA,NA,-1.14485750645896,NA,NA,NA,NA,NA,NA,NA,-1.18230671287288,-1.63192361435573,NA,NA,-1.02220765511592,NA,-1.11681955666858,-1.53556437489096,-1.5178830293925
HAPLN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58542321972318
EDIL3,NA,NA,NA,NA,NA,NA,0.747616466511052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74436299147864
ADAMTS19,-2.19237939549154,NA,NA,NA,NA,NA,-1.93468707101893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.53588749550877,NA,NA,NA,NA,NA,NA,-2.28308399349197
FSTL4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.706740634313234
AC106791.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.689170197661596
