,dPSI_TST11872_iPSC-BIO-1755497-12nM,dPSI_TST11872_iPSC-BIO-1755497-40nM,dPSI_TST11872_iPSC-BIO-1949634-10uM,dPSI_TST11872_iPSC-BIO-1949634-3uM,dPSI_TST11872_iPSC-BIO-2006152-150nM,dPSI_TST11872_iPSC-BIO-2006152-45nM,dPSI_TST11872_iPSC-BIO-2059811-261nM,dPSI_TST11872_iPSC-BIO-2059811-870nM,dPSI_TST11872_iPSC-BIO-2060573-10uM,dPSI_TST11872_iPSC-BIO-2060573-3uM,dPSI_TST11872_iPSC-BIO-2060884-1000nM,dPSI_TST11872_iPSC-BIO-2060884-3700nM,dPSI_TST11872_iPSC-BIO-2070692-1680nM,dPSI_TST11872_iPSC-BIO-2070692-5600nM,dPSI_TST11872_iPSC-BIO-2135644-1uM,dPSI_TST11872_iPSC-BIO-2135644-300nM,dPSI_TST11872_iPSC-BIO-2136770-1000nM,dPSI_TST11872_iPSC-BIO-2136770-300nM,dPSI_TST11872_NGN2-BIO-1755497-12nM,dPSI_TST11872_NGN2-BIO-1755497-40nM,dPSI_TST11872_NGN2-BIO-1949634-10uM,dPSI_TST11872_NGN2-BIO-1949634-3uM,dPSI_TST11872_NGN2-BIO-2006152-150nM,dPSI_TST11872_NGN2-BIO-2006152-45nM,dPSI_TST11872_NGN2-BIO-2059811-261nM,dPSI_TST11872_NGN2-BIO-2059811-870nM,dPSI_TST11872_NGN2-BIO-2060573-10uM,dPSI_TST11872_NGN2-BIO-2060573-3uM,dPSI_TST11872_NGN2-BIO-2060884-1000nM,dPSI_TST11872_NGN2-BIO-2060884-3700nM,dPSI_TST11872_NGN2-BIO-2070692-1680nM,dPSI_TST11872_NGN2-BIO-2070692-5600nM,dPSI_TST11872_NGN2-BIO-2135644-1uM,dPSI_TST11872_NGN2-BIO-2135644-300nM,dPSI_TST11872_NGN2-BIO-2136770-1000nM,dPSI_TST11872_NGN2-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-300nM
PIEZO2,NA,NA,-0.99,-0.99,NA,NA,-0.417369935404565,-0.767,NA,NA,NA,NA,NA,NA,0.516798151344709,NA,-0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.966266159631773,0,NA,NA,NA,NA,NA,NA,0.00521918359297587,NA,5.97670061592e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIFO,NA,NA,-0.275824478728815,NA,NA,NA,NA,NA,NA,NA,0.294078404699091,0.291347600314735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000245797376075735,NA,NA,NA,NA,NA,NA,NA,0.000198847481271298,0.00191673873271304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGA,NA,NA,0.332,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00200362982e-07,1.53120074217e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499,NA,NA,NA,NA,0.341,NA,NA,NA,0.406,NA,0.374,NA,NA,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56974552546e-13,NA,NA,NA,NA,9.15844089172e-06,NA,NA,NA,6.67554174648e-07,NA,1.37687588485e-05,NA,NA,3.8684204192e-05,NA
PIGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.486478275188198,NA,NA,NA,NA,-0.44964518874066,NA,NA,NA,-0.45856473944572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999562810306477,NA,NA,NA,NA,0.99445183725053,NA,NA,NA,0.995921394452148,NA,NA,NA,NA,NA,NA
PIGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841615933930188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGK,NA,NA,0.262575949625756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000367520947216871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.407736005939461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918411986945744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGN,NA,NA,0.991796813700629,0.396,NA,NA,0.362955974722311,0.816705097374662,0.607139917697456,NA,0.444356046516021,0.91721550777062,0.371418406912204,0.810714347773342,0.595160468524061,NA,0.639423912666472,NA,NA,NA,0.96492831619785,0.965055556537667,0.564538716846285,NA,0.918678379690209,0.98283654047111,0.982402797656307,0.90753799077341,0.961257994343768,0.974415386136601,0.915559612647645,0.982831374651936,0.971312122096027,0.645118704243917,0.976391035659337,0.706241793698704,NA,NA,2.81013950098279e-07,0,NA,NA,6.86973229096357e-05,8.2164544258166e-08,6.1805306515689e-07,NA,2.3774365916314e-06,1.64721970336481e-06,7.98467411687794e-06,3.94023287840365e-08,1.47384873044207e-05,NA,2.4267771606687e-07,NA,NA,NA,0.999999999999275,1.74725376610638e-05,0.999992429463441,NA,8.15500312617702e-05,2.00931460287571e-05,0.0106221280864043,9.18668328215913e-06,1.09285091591545e-05,4.66237632183889e-06,1.53808270531475e-06,5.25575328617905e-06,4.90903920651555e-06,0.00623517974902448,1.8142013484765e-05,0.000372198010879802
PIGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482519587009154,NA,NA,NA,NA,0.387902529014009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0234184284577143,NA,NA,NA,NA,0.0448742056861165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGQ,NA,NA,-0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00120476947125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0019972471136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127093571588,NA,NA
PIGU,NA,NA,-0.426523414260702,0.500226616639837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320728105479544,0.527765805580187,NA,NA,NA,0.596855690243929,0.360833813581159,0.309175999080343,NA,0.474556400772102,0.290090884134918,0.320783407650069,0.314143927697901,NA,0.398478114320832,NA,NA,NA,0.984548451116061,6.3585217684412e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00974638064556086,0.000130475544453312,NA,NA,NA,4.96049270000985e-06,2.97550460038677e-06,1.60068080836671e-05,NA,7.10947266626876e-06,1.25111468166447e-05,2.64380091962121e-06,8.16813958096817e-05,NA,0.00114501180674139,NA
PIK3C2B,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47366516842e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIK3CB,NA,NA,0.529900037112331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42658718030724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259218692334889,NA,NA,NA,NA,NA,NA,4.04692068013514e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00217377236138902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045285372387765,NA,NA,NA,NA
PIK3CD,NA,NA,0.622815238920418,0.375190719632586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854084042602732,0.787721328427018,NA,NA,0.463221546118452,0.671845244085143,0.499414904021668,NA,NA,0.726111314327807,0.467810080616693,0.709395498409217,0.493993926600983,NA,0.730047917750027,0.250973894851136,NA,NA,5.17210339050545e-05,0.000113975617387317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31094794009222e-06,2.79885862519903e-06,NA,NA,0.999540929671464,3.82865452992117e-07,3.51222904684157e-05,NA,NA,6.15353924204004e-07,7.80367132252062e-06,1.67027878609599e-07,1.19247022444152e-05,NA,2.38877681738925e-06,0.0041880623342978
PIK3R1,NA,NA,0.765066853749387,-0.47743368846294,NA,NA,NA,NA,NA,NA,NA,-0.504379588905763,NA,NA,NA,NA,NA,NA,NA,NA,0.839298111840974,0.602947130576616,NA,NA,0.378606613122223,0.440331604620209,0.363313754896701,0.276393766501204,0.377463795696008,0.600115141472377,0.2964215652205,0.422725562732689,0.27805775838181,NA,0.394905123701653,NA,NA,NA,0.000187436187466057,0.996003325381612,NA,NA,NA,NA,NA,NA,NA,0.999119995941656,NA,NA,NA,NA,NA,NA,NA,NA,6.84500819358059e-07,1.52230113462705e-09,NA,NA,9.39745418274526e-05,4.02381400707664e-07,7.65430678873881e-06,2.43426742343547e-07,1.1221701278139e-06,1.02553303324117e-09,3.85169844931112e-07,3.62675955815305e-06,7.25661166760902e-06,NA,1.54846176175986e-06,NA
PIK3R2,NA,NA,0.56442149668798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999943020566474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIKFYVE,NA,NA,0.37,0.447097301729693,NA,NA,NA,0.330935385848188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33922050525394,0.362421046876137,NA,NA,NA,0.324068758410759,0.301018795011982,NA,NA,NA,NA,-0.275966306345809,NA,NA,-0.273822935769516,NA,NA,NA,0,2.50618027949405e-17,NA,NA,NA,1.35340061445697e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00136668071577268,1.34820421219092e-05,NA,NA,NA,5.56528453614849e-06,1.14947088021313e-05,NA,NA,NA,NA,0.00032421424519464,NA,NA,0.00023961687270129,NA
PIMREG,NA,NA,-0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00224836351548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PINX1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.481420707406918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990271618568634,NA,NA,NA,NA,NA,NA
PIP5K1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281339383014962,0.279162516635017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00471075740658829,0.0196396566550526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP5K1C,NA,NA,-0.326088171362622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33794043051975e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP5KL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539711504638414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995178700454672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITPNB,NA,NA,0.689069143467766,0.544281820228186,NA,NA,NA,-0.383345758036636,-0.861265606790651,-0.655606089001309,0.692698837356324,0.910523266223723,0.44347404749356,0.736049499609519,NA,NA,-0.384498352584067,NA,NA,-0.583985807771781,NA,-0.839122109930454,-0.427791034394784,NA,-0.448374205287126,NA,0.937945921557474,-0.643256353486265,NA,NA,-0.729574532658222,NA,NA,NA,0.935663329900258,NA,NA,NA,0.000404188475492864,0.000164828919900407,NA,NA,NA,0.93235605991734,0.999999999999968,0.999999992764255,0.000293302318845274,0.999999999999992,0.00139866649392341,7.42483862558725e-05,NA,NA,0.92887330747142,NA,NA,0.999935634691232,NA,0.999999999424631,0.976023427291363,NA,0.993286681811591,NA,0.00514597959242428,0.999996938428037,NA,NA,0.999999934327683,NA,NA,NA,0.00719646910214572,NA
PITPNC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255702335894378,NA,NA,NA,NA,NA,NA,NA,NA,-0.336,NA,0.307431799414531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000372670124561517,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.20096999642716e-06,NA,NA,NA,NA
PKD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40624994086934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928878984304513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKD1P1,NA,NA,0.60909535607096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999323716620591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272515959276346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424023685917062,NA,NA,NA,NA,NA,NA
PKIB,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKN2,NA,NA,0.265902049798322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.546875860211009,0.269466275302708,NA,NA,NA,NA,NA,NA,NA,-0.250084846416703,NA,0.424759047506008,NA,NA,NA,NA,NA,NA,6.42136733229516e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999935261855876,0.0048079500212983,NA,NA,NA,NA,NA,NA,NA,0.00324598521639893,NA,0.964036679226655,NA,NA,NA,NA
PKNOX2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000226343543442,NA,NA,NA,NA
PKP4,NA,NA,0.425,0.311,NA,NA,NA,NA,NA,NA,NA,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,NA,0.268577588585915,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.34422018655235e-09,NA,NA,NA,NA
PLA2G4C,NA,NA,0.394091714155536,0.298403792442133,NA,NA,NA,NA,NA,NA,NA,0.29683786421924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57006574081226e-05,0.000510294234025365,NA,NA,NA,NA,NA,NA,NA,0.00361766505994219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLCB4,NA,NA,-0.719266631169288,NA,NA,NA,NA,NA,0.41946597636672,NA,NA,0.434286435475325,NA,NA,NA,NA,NA,NA,NA,NA,-0.312370472679975,NA,NA,NA,NA,NA,NA,NA,NA,-0.449121113238646,NA,NA,NA,NA,NA,NA,NA,NA,0.999999976339672,NA,NA,NA,NA,NA,0.934393017536213,NA,NA,0.957993576673826,NA,NA,NA,NA,NA,NA,NA,NA,0.007192547280104,NA,NA,NA,NA,NA,NA,NA,NA,0.992753879802718,NA,NA,NA,NA,NA,NA
PLCD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637336223780184,NA,NA,NA,NA,NA,NA,NA,NA,0.501755699158197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999919774994312,NA,NA,NA,NA,NA,NA,NA,NA,0.991287190013341,NA,NA,NA,NA,NA,NA
PLCH1,NA,NA,0.574342112817582,0.543953780902737,0.382720329543449,NA,0.284578420110731,0.390566967976673,0.558793741350929,0.408165691084464,0.539983775264034,0.676125381084379,0.385210535196858,0.385442111533949,0.422243922209546,NA,0.348119208033637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15155870999782e-06,0.000107030544551238,0.000130821582306074,NA,0.0310065893040372,4.41217836105744e-05,1.60509432736883e-05,0.000207188816752731,2.74389860061116e-05,8.31646297546329e-06,0.000136828270846631,3.75490213078743e-05,1.69618271834735e-05,NA,0.000194665445564809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLCH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586294776338205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999819524200932,NA,NA,NA,NA,NA,NA,NA
PLEKHA1,NA,NA,-0.42,0.261046606288435,NA,NA,NA,0.429043593277338,0.282658388772613,NA,0.258054368184023,0.569030000786892,NA,NA,NA,NA,0.42301464789264,NA,NA,NA,0.47229900727065,0.398257248233246,NA,NA,NA,NA,0.363762632239671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00611223087510453,NA,NA,NA,0.973967672702253,2.21152608279725e-05,NA,0.000762690205354579,0.999959292093144,NA,NA,NA,NA,0.963438419259155,NA,NA,NA,0.999977532152964,0.995303520995423,NA,NA,NA,NA,0.926465906970751,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEKHA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750933938414123,-0.466784521281163,NA,NA,NA,0.409545027597991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99999999999655,0.993858541118194,NA,NA,NA,0.962232523130095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEKHA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254565048651821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317128882291382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEKHA6,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,0.484580281533209,NA,NA,NA,NA,NA,NA,NA,NA,-0.353214960473889,-0.315407211814599,NA,NA,NA,NA,-0.253912978704852,NA,NA,0.469060054034141,NA,0.308342581787454,NA,NA,NA,NA,NA,NA,7.66200277873e-11,NA,NA,NA,NA,NA,NA,NA,NA,0.982323641496161,NA,NA,NA,NA,NA,NA,NA,NA,1.96799785593211e-10,1.23458754398179e-13,NA,NA,NA,NA,5.17700313235461e-08,NA,NA,8.88134408240631e-08,NA,3.98294017904e-07,NA,NA,NA,NA
PLEKHG2,NA,NA,0.428917692306927,NA,NA,NA,NA,NA,NA,NA,0.412,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0301339626329057,NA,NA,NA,NA,NA,NA,NA,1.21988328723e-09,5.69843032274e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
