dPSI_iPSC.4088.3x,dPSI_iPSC.4090.3x,dPSI_iPSC.4714.3x,dPSI_iPSC.4741.3x,dPSI_iPSC.4748.3x,dPSI_iPSC.5420.3x,dPSI_iPSC.6152.3x,dPSI_iPSC.6527.3x,dPSI_iPSC.6866.3x,dPSI_iPSC.6960.3x,dPSI_iPSC.9701.3x
0.54,NA,0.448836666482126,0.463513886232079,NA,0.51,0.356355420587645,NA,0.34763013902808,NA,0.327695305103605
0.371284793083398,NA,0.403534495150844,0.267830141997233,NA,0.308744425413408,0.313,NA,0.557,NA,NA
0.307137361435869,NA,0.317,0.442,NA,0.277577360019295,0.380226794615918,NA,0.394544427904248,NA,NA
0.494646657874468,NA,0.314,0.396436008390603,NA,0.51172089413218,NA,NA,0.260615189126606,NA,NA
0.552690923145878,NA,0.293807257658809,0.684111918382176,NA,0.404275224263761,NA,NA,0.536303956426213,NA,NA
0.294156320520002,NA,0.405527292034937,0.364,NA,0.379681117722057,NA,NA,0.302301581856042,NA,NA
0.361025827725341,NA,0.334547231432702,0.44722062383581,NA,0.317,NA,NA,0.406988202242992,NA,NA
0.34664078751994,NA,NA,0.436171983312972,NA,0.399584965604641,NA,NA,0.304762177606872,NA,NA
0.509831132345574,NA,NA,0.47,NA,0.454131678152547,NA,NA,0.274532027602303,NA,NA
0.26262666987694,NA,NA,0.280791925939657,NA,0.380539306153123,NA,NA,0.263306780181705,NA,NA
0.315623815681124,NA,NA,0.360339098504149,NA,0.520081592844839,NA,NA,0.426385471681067,NA,NA
0.382067068675477,NA,NA,0.769469544684057,NA,0.251960900914355,NA,NA,0.349,NA,NA
0.304,NA,NA,0.397953562379976,NA,0.326530883186769,NA,NA,0.433377635120686,NA,NA
0.353478842174682,NA,NA,0.278073507710981,NA,0.32,NA,NA,0.399379329032193,NA,NA
0.362900336421131,NA,NA,0.596941225527371,NA,0.282098340459488,NA,NA,0.257423828460146,NA,NA
NA,NA,NA,0.2985150259385,NA,0.284234790930605,NA,NA,0.255158311865131,NA,NA
NA,NA,NA,0.470840874977439,NA,0.319247208098609,NA,NA,0.37403260532952,NA,NA
NA,NA,NA,0.256944077738228,NA,0.267349253279343,NA,NA,0.293075604144636,NA,NA
NA,NA,NA,0.274852729581439,NA,0.563691871545278,NA,NA,0.401571457158793,NA,NA
NA,NA,NA,0.320162763229684,NA,0.425040367500196,NA,NA,0.389222947537017,NA,NA
NA,NA,NA,0.520072228625636,NA,NA,NA,NA,0.292043554851149,NA,NA
NA,NA,NA,0.318,NA,NA,NA,NA,0.452948051916772,NA,NA
NA,NA,NA,0.326488082147631,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.252300524509119,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.398243970736785,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA
