dPSI_NGN2.4088.3x,dPSI_NGN2.4090.3x,dPSI_NGN2.4714.3x,dPSI_NGN2.4741.3x,dPSI_NGN2.4748.3x,dPSI_NGN2.5420.3x,dPSI_NGN2.6152.3x,dPSI_NGN2.6527.3x,dPSI_NGN2.6866.3x,dPSI_NGN2.6960.3x,dPSI_NGN2.9701.3x
0.511937808549755,0.444673445720599,0.505722331742415,0.295502941093558,0.431816591478351,0.66510463490728,0.301282671568438,0.352763171899412,0.392871345634654,0.368251446677182,NA
0.539191980142415,0.401,0.645815325074288,0.541,0.521993975745467,0.352387882959286,0.254133021405468,0.309567038817021,0.342734962373873,0.541,NA
0.382,0.308175671578983,0.541,0.409660521484057,0.541,0.251968507729846,0.299023742240538,0.422264828707845,0.368291163308041,0.322646180738807,NA
0.45690582114197,0.258118326019319,0.295869159903609,0.378937993772999,0.320005223559106,0.417,0.461210397117836,0.256984866674453,0.431410604640487,0.513429355092851,NA
0.370176772604848,0.417,0.492017380655832,0.49724763183135,0.472621465163721,0.285578017560942,0.304,NA,0.417,0.45131851172576,NA
0.549269516131794,0.288798445650941,0.551150210970243,0.393079202508522,0.33810828095916,0.302426655590164,0.308,NA,0.382,0.294783474140484,NA
0.379569792779768,0.337,0.516482882612873,0.257423864490055,0.494246542645194,0.33750393348154,0.388406340135738,NA,0.284493590361603,0.314326135329483,NA
0.322949882579616,0.428190087879245,0.322,0.599798633890157,0.45453881870801,0.32586556920088,0.603288411142975,NA,0.349502925302352,0.417,NA
0.372,0.305,0.398,0.503,0.274579833841613,0.395099864093033,0.289030911455485,NA,NA,0.47824376540905,NA
0.417545443380942,0.252241688269452,0.489743725872982,0.306,0.260202021362493,0.445339710907673,0.39,NA,NA,0.276902683913592,NA
0.362019298031499,0.344,0.599801688863862,0.492164202347589,0.325,0.384,0.265295435729365,NA,NA,0.366165447719266,NA
0.308,0.428,0.336923528373946,0.555328802401923,0.284291881835427,0.635700917328606,0.520346323375745,NA,NA,0.260636760144042,NA
0.398950294429932,NA,0.313886794148934,0.545,0.285061905851152,0.487313919481113,NA,NA,NA,0.280385337116069,NA
0.318071317717361,NA,0.331,0.270881334139115,0.26579938804928,0.274815522628171,NA,NA,NA,0.26716554414914,NA
0.354160174127172,NA,0.422384296301303,0.454,0.250406689685805,0.334463652084848,NA,NA,NA,0.341,NA
0.25903330604917,NA,0.253915278751335,0.354944575535837,0.351,0.361,NA,NA,NA,0.275240519238663,NA
0.365538407312827,NA,0.340979965950419,0.71944348586713,0.308421102733793,0.544576481095945,NA,NA,NA,NA,NA
