,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH
S100PBP,-0.272062366931898
SAAL1,-0.279198458101277
SAFB2,0.259020074004066
SCAI,-0.275039928966063
SCAND2P,0.37710302179126
SCMH1,-0.289434010692628
SDCCAG8,-0.273638013851772
SDHAP3,-0.497215729788614
SELENOO,-0.264954920926877
SEMA6C,-0.330925989637247
SENP7,-0.251340647819695
SF3A1,0.4717945755063
SF3B3,-0.350278847312702
SFMBT2,0.427285577060385
SH3YL1,0.363965607422595
SIAE,-0.393769792708641
SLC15A4,0.340548112587969
SLC1A3,-0.314436769467641
SLC20A1,-0.328686589900441
SLC22A15,-0.315424361386905
SLC22A17,0.470356535871515
SLC25A21,-0.459445664607977
SLC25A25,0.26633404755233
SLC35F5,-0.32294595489378
SLC36A4,-0.452618828536787
SLC38A6,-0.368621485666121
SLC6A6,0.314079673051113
SLC7A6OS,0.508464951945645
SLC9A5,-0.269603619933866
SLC9A8,0.289691159168394
SLX1A.SULT1A3,0.358009206605292
SLX1B,0.359824346488678
SMAD4,-0.252322985181066
SMARCD3,-0.329314526161852
SMC6,-0.308629209900212
SMNDC1,0.283930076723175
SMPD2,0.310784923404783
SNHG20,-0.330523382143939
SNRNP48,0.285768368739611
SNX14,0.296531717061459
SNX22,0.297400114731364
SNX27,-0.263060773713967
SP4,-0.275876185455286
SPATA5L1,0.459674643704841
SPEG,0.43084334717952
SPIN2B,0.272697279574864
SPRYD7,-0.321170879466447
SREK1,-0.274341675802159
SRRT,-0.325650476105247
SRSF11,-0.377420960299507
SRSF4,-0.334464026343303
SRSF6,0.26892884941116
STAG3L4,-0.302181267901552
STK16,0.264149911477615
STRIP2,-0.308272694124485
SUPT3H,-0.272453526480291
SUZ12P1,-0.402130363004463
TAF1,-0.265567869862616
TARS3,-0.342351585040322
TBC1D23,-0.264829657890722
TBCK,-0.396826218949421
TCERG1,-0.356123822998165
TCF25,-0.333720009803221
TEP1,0.404943952486363
TESMIN,0.277096958468715
TET1,-0.268175289601018
TEX9,-0.26362929955102
TGFBRAP1,0.384246360718742
THADA,-0.268345582331357
THUMPD2,-0.396605784439176
TMEM120A,0.326369434960842
TMEM222,-0.410086716057884
TMEM231,0.254091611130729
TMEM237,-0.270219661415016
TMEM260,-0.254423047824228
TMEM39B,-0.292573985725782
TMEM44,0.367605883133071
TMEM50B,-0.26878492192907
TOE1,0.29895679271718
TOMM20,-0.295122295284552
TPCN1,-0.40417577773857
TRADD,0.485874704167029
TRIM66,-0.321514591650148
TRMT11,-0.429764391726601
TRMT13,-0.254770683176433
TRMT44,0.273549400698662
TRNAU1AP,-0.371746823109799
TRPM4,0.261815280529229
TRPV1,-0.310067929300051
TSC22D2,-0.285342415929645
TSPYL2,0.612225197696997
TTC17,-0.285455944126673
TTC23,-0.287086040234985
TTC25,0.308720946991543
TTC38,0.271903520206179
TTC39C,-0.319406547734482
TTC9C,-0.321697011515826
TTF1,0.315318454963136
TTLL7,-0.347955469593187
TUBG2,0.327070083969893
TUBGCP4,0.268818332163704
TUBGCP5,0.333421270413897
TULP4,-0.296906729244677
TUT7,0.295284924412035
TXNDC16,-0.375927160619301
TYW1B,0.259087237242438
UAP1L1,0.277017511150426
UBE3B,-0.30384751923934
UFSP2,0.261503442980283
UGGT2,-0.384097573268857
UHRF2,-0.283543299026052
USP15,-0.331086489976598
USP2,0.279241216551145
USP24,-0.263711286462373
USP45,0.251549904479759
UTP18,-0.266280306282258
VARS2,0.255463191017784
VCPKMT,0.33179951699321
VPS11,-0.321735111215442
VPS36,-0.369647086827546
VPS8,-0.367331375244963
WASH6P,0.25078439643906
WASHC3,-0.279883070467078
WDR27,0.292308450540486
WDR63,0.306900755879752
WHAMM,0.27787143281119
WNK3,0.270096789217803
XPA,-0.393100270419707
XRN2,-0.61661276568559
YAF2,-0.274845051757109
ZDHHC17,-0.365023742126805
ZFAT,0.255087411040231
ZFYVE26,-0.378247019367009
ZHX3,-0.315586696691548
ZNF131,0.31134452238125
ZNF202,0.269429085727192
ZNF215,0.336311491463439
ZNF226,0.304469938611893
ZNF268,0.390463617832767
ZNF276,0.343016100831076
ZNF282,-0.268616525643097
ZNF324B,0.36849476746739
ZNF37BP,0.296090315535412
ZNF530,0.255414305860439
ZNF577,0.401809725878375
ZNF783,0.404164860382888
ZSCAN26,0.314508934187263
ZZEF1,-0.274622747547398
