""	"iPSC.4741.10x"	"iPSC.4741.3x"	"NGN2.4741.10x"	"NGN2.4741.3x"
"LRRCC1"	1	0	0	0
"LUC7L3"	0	0	1	0
"LYSMD4"	1	0	0	0
"MACROD2"	0	0	1	0
"MAN1B1"	1	0	0	0
"MAP6"	0	0	1	0
"MARCHF8"	1	0	0	0
"MAST4"	0	0	1	0
"MDM4"	1	0	0	0
"MDN1"	0	0	1	0
"MED13L"	0	0	1	0
"METTL4"	1	0	0	0
"METTL6"	0	0	0	1
"MIER1"	0	1	0	0
"MIR100HG"	0	0	0	1
"MMS19"	0	0	1	0
"MMS22L"	1	0	0	0
"MORN1"	1	0	0	0
"MTERF3"	0	0	1	0
"NAA40"	0	1	0	0
"NDUFAF7"	0	0	0	1
"NEK9"	0	0	1	0
"NKTR"	0	1	0	0
"NLGN1"	0	0	1	0
"NLN"	0	0	1	0
"NPIPA1"	1	0	0	0
"NSUN4"	0	0	1	0
"NT5C2"	0	0	1	0
"OBSL1"	0	0	1	0
"OSBPL5"	0	0	1	0
"OTUD7A"	0	0	1	0
"PCBP2"	1	0	0	0
"PCM1"	0	0	1	0
"PEPD"	0	0	1	0
"PHB2"	1	0	0	0
"PHLDB1"	0	0	1	0
"PIEZO2"	0	0	1	0
"PIGA"	0	0	0	1
"PIK3CD"	0	0	1	0
"PIK3R1"	0	0	1	0
"PLEKHA1"	1	0	0	0
"PMS2CL"	1	0	0	0
"PPIA"	1	0	0	0
"PRDX4"	0	0	1	0
"PRKDC"	0	0	1	0
"PRKG1"	0	0	1	0
"PRPF39"	0	0	1	0
"PRUNE2"	0	0	1	0
"PTK2B"	0	0	1	0
"PTPRT"	0	0	1	0
"QKI"	0	0	0	1
"RALGPS1"	1	0	0	0
"RARS1"	0	0	1	0
"RASGRP2"	0	0	1	0
"RBCK1"	0	0	1	0
"RERE"	0	0	1	0
"RFX6"	0	0	1	0
"RINT1"	1	0	0	0
"RPF2"	1	0	0	0
"RPS10"	1	0	0	0
"RSRC2"	1	0	0	0
"RUNDC3B"	0	0	1	0
"SGCE"	1	0	0	0
"SGCZ"	0	0	1	0
"SGPL1"	0	0	1	0
"SH3YL1"	0	0	1	0
"SKOR2"	0	0	1	0
"SLC12A2"	1	0	0	0
"SLC30A5"	1	0	0	0
"SLC44A2"	1	0	0	0
"SMC5"	0	0	1	0
"SNAPC5"	0	1	0	0
"SNHG5"	1	0	0	0
"SNX7"	0	0	1	0
"SORCS1"	0	0	1	0
"SORCS3"	0	0	1	0
"SPATS2"	0	0	1	0
"SPIDR"	1	0	0	0
"SPRYD7"	0	0	1	0
"SREK1"	0	0	1	0
"SRGAP1"	0	0	1	0
"SS18L1"	1	0	0	0
"SSR1"	0	0	1	0
"STAT1"	0	0	1	0
"STOX2"	1	0	0	0
"STRN4"	0	0	1	0
"STXBP5L"	0	0	1	0
"SYT14"	1	0	0	0
"SYTL2"	1	0	0	0
"TAB3"	1	0	0	0
"TAF1"	0	0	0	1
"TET1"	0	0	1	0
"TMEM18"	0	0	1	0
"TMEM258"	1	0	0	0
"TMEM50B"	0	0	1	0
"TNIP1"	0	0	1	0
"TP53INP1"	0	0	1	0
"TRAF3"	0	0	1	0
"TRIM4"	1	0	0	0
"TRPM3"	0	0	1	0
"TSPAN4"	0	0	0	1
"TTC7B"	0	0	1	0
"TTN-AS1"	0	0	0	1
"TXLNGY"	1	0	0	0
"UBE2Q2P1"	0	0	0	1
"UNKL"	0	0	0	1
"USP9Y"	0	0	1	0
"VDAC3"	0	0	0	1
"VSTM2L"	0	0	1	0
"WDFY3-AS2"	0	0	1	0
"WNK3"	0	0	1	0
"YPEL5"	0	0	1	0
"ZBTB41"	0	0	1	0
"ZCCHC9"	0	0	0	1
"ZDHHC13"	1	0	0	0
"ZFY"	1	0	0	0
"ZMYM6"	0	0	1	0
"ZNF169"	0	0	1	0
"ZNF350"	1	0	0	0
"ZNF429"	1	0	0	0
"ZNF519"	1	0	0	0
"ZNF585B"	0	0	1	0
"ZNF66"	1	0	0	0
"ZNF730"	1	0	0	0
"ZNF767P"	0	0	1	0
"ZNF804A"	0	0	1	0
"ZNF827"	1	0	0	0
"ZSCAN26"	0	0	0	1
