""	"iPSC.6960.10x"	"iPSC.6960.3x"	"NGN2.6960.10x"	"NGN2.6960.3x"
"GPHN"	0	0	1	0
"GRAMD2B"	1	0	0	0
"GRIA1"	0	0	1	0
"GXYLT1"	0	0	1	0
"HLTF"	0	0	1	0
"HPCAL1"	0	0	0	1
"HPS5"	0	0	0	1
"IFT80"	0	0	1	0
"JARID2"	0	0	1	0
"KDSR"	0	0	1	0
"KIAA1549L"	1	0	0	0
"LINC00678"	1	0	0	0
"LINC01011"	0	0	1	0
"LRP8"	0	0	1	0
"MACROD2"	0	0	1	0
"MAEA"	0	0	1	0
"MAN1B1"	1	0	0	0
"MAP6"	0	0	1	0
"MATK"	1	0	0	0
"MEMO1"	0	0	1	0
"METTL6"	0	0	1	0
"MIR4435-2HG"	0	0	1	0
"MMS22L"	1	0	0	0
"MROH8"	0	0	0	1
"MRPS5"	0	0	1	0
"MYL6"	0	0	1	0
"NECAP2"	0	0	0	1
"NLGN1"	0	0	1	0
"NRXN3"	0	0	0	1
"PCDH10"	0	0	1	0
"PCDH9"	0	0	1	0
"PHB2"	1	0	0	0
"PITPNB"	0	0	1	0
"PPHLN1"	0	0	1	0
"PRKACB"	0	0	1	0
"PRKG1"	0	0	1	0
"PTPRT"	0	0	1	0
"PYCR1"	1	0	0	0
"RAB36"	0	0	0	1
"RAP1A"	1	0	0	0
"RAPGEF1"	0	0	1	0
"RARS1"	0	0	1	0
"RASGRP2"	0	0	1	0
"RBBP8"	0	0	1	0
"RCOR3"	0	0	1	0
"RNF207"	0	0	1	0
"RSRC2"	0	1	0	0
"SCLY"	0	0	1	0
"SCO1"	0	0	1	0
"SERGEF"	0	0	1	0
"SERPINB6"	1	0	0	0
"SH3YL1"	0	0	1	0
"SKOR2"	0	0	1	0
"SLC25A17"	0	0	1	0
"SLC25A37"	0	0	1	0
"SLC7A6"	0	0	1	0
"SNAP91"	0	0	1	0
"SNHG5"	1	0	0	0
"SPART"	0	0	1	0
"SPIDR"	1	0	0	0
"SPRYD7"	0	0	1	0
"SSBP1"	0	0	1	0
"STOX2"	0	0	1	0
"STRN4"	0	0	1	0
"STXBP5L"	0	0	1	0
"SYTL2"	0	1	0	0
"TAB3"	1	0	0	0
"TARBP1"	0	0	1	0
"TCF4"	1	0	0	0
"TET1"	0	0	1	0
"TMEM116"	0	0	0	1
"TMEM214"	1	0	0	0
"TNIP1"	0	0	1	0
"TNRC6A"	1	0	0	0
"TOX4"	0	0	1	0
"TP53INP1"	0	0	1	0
"TSNARE1"	1	0	0	0
"TSPAN4"	0	0	1	0
"TTN-AS1"	0	0	1	0
"VDAC3"	0	0	1	0
"VSTM2L"	0	0	1	0
"WNK3"	0	0	1	0
"ZBTB41"	0	0	1	0
"ZDHHC11"	0	0	1	0
"ZDHHC13"	0	0	1	0
"ZMIZ2"	0	0	1	0
"ZNF140"	0	0	1	0
