,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
ABHD2,NA,NA,NA,0.999998390870513,-0.0166318031826077,majiq,0.999282936538702,-0.0170025837465739,majiq,0.964590415025209,0.0156085061201233,leafcutter,0.999566339483417,-0.0166857051188279,majiq,0.999755574396004,-0.0216506098638659,majiq
ABHD3,NA,NA,NA,0.778416375135,0.19,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD4,0.985696484543104,0.023600706240655,leafcutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD5,0.815478562518628,0.0231929653439406,leafcutter,0.830727920789212,0.0189072672900266,leafcutter,0.372173987628913,0.03209500983527,leafcutter,0.91708839351838,0.0218935850358211,leafcutter,0.99989276003287,-0.0213788838823691,majiq,0.942739892725959,0.0199954197046383,leafcutter
ABHD6,0.10202803652,0.211,rmats,NA,NA,NA,0.0471721131564,0.225,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD8,0.999917365095636,-0.0135366537103305,majiq,0.999999854213602,-0.0136478130868087,majiq,0.999903886534733,-0.0135103654060061,majiq,0.999854562232227,-0.0128495751814735,majiq,NA,NA,NA,0.999898435916654,-0.0134279633069242,majiq
ABI1,0.720055888880674,0.0114089778200911,leafcutter,0.510674414863541,0.0806680595892722,leafcutter,0.856130343838863,0.0427767971046409,leafcutter,0.986509864655148,0.0415880512362313,leafcutter,0.970920835117734,0.0254146606608896,leafcutter,0.962167787693009,0.0286060424859968,leafcutter
ABI2,0.604829695926,0.035,rmats,0.515644956297,0.039,rmats,0.822065269745,-0.059,rmats,0.8744373392279,0.0160708915757545,leafcutter,0.986252504481023,0.0118222985239991,leafcutter,0.8125367556,-0.041,rmats
ABI3BP,0.0802128808243,0.361,rmats,0.0626770834812,0.37,rmats,0.608258880434453,0.0745418930881941,leafcutter,0.032715746271,0.169,rmats,0.503235083703,0.082,rmats,0.0066287303813,0.292,rmats
ABL1,0.763252478186361,0.0105705077680202,leafcutter,0.633785638206363,0.0678278337308528,leafcutter,0.802681927752957,0.0574355482023166,leafcutter,0.991757534501872,0.0138443959019231,leafcutter,0.99938297657256,-0.0191991929981963,leafcutter,0.962167787693009,0.0168027738008031,leafcutter
