	BIO1755497.NGN2.40nM	BIO2006152.NGN2.45nM	BIO2059811.NGN2.261nM	BIO2135644.NGN2.300nM
UBAP2L	0	0	1	1
VAV2	0	0	1	1
VSTM2L	0	0	1	1
WDR91	0	0	1	1
WSB1	0	0	1	1
ZNF433	0	0	1	1
ZNF804A	0	0	1	1
AC104452.1	0	0	0	1
ANP32A	0	0	0	1
CCT6B	0	0	0	1
CIPC	0	0	0	1
DECR2	0	0	0	1
EPM2A	0	0	0	1
ERCC6L2	0	0	0	1
ERICH1	0	0	0	1
ERVK13-1	0	0	0	1
EWSR1	0	0	0	1
EXTL2	0	0	0	1
FCHO1	0	0	0	1
FHOD3	0	0	0	1
GARNL3	0	0	0	1
INVS	0	0	0	1
KCNC1	0	0	0	1
KIAA0895L	0	0	0	1
LINC00963	0	0	0	1
MARCHF8	0	0	0	1
MUTYH	0	0	0	1
MYT1	0	0	0	1
NEK11	0	0	0	1
NR6A1	0	0	0	1
PBLD	0	0	0	1
PIGT	0	0	0	1
PRKACB	0	0	0	1
REPS1	0	0	0	1
SLC41A3	0	0	0	1
STOX2	0	0	0	1
ZMYM2	0	0	0	1
