Sample,Sample_Group,Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
30,10,TST11872_iPSC-BIO-2060573-3-3uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-3x,iPSC_2060573_3_3uM   ,iPSC-2060573-3x_3,Homo sapiens
31,11,TST11872_iPSC-BIO-2060884-1-3700nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-10x,iPSC_2060884_1_3700nM,iPSC-2060884-10x_1,Homo sapiens
32,11,TST11872_iPSC-BIO-2060884-2-3700nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-10x,iPSC_2060884_2_3700nM,iPSC-2060884-10x_2,Homo sapiens
33,11,TST11872_iPSC-BIO-2060884-3-3700nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-10x,iPSC_2060884_3_3700nM,iPSC-2060884-10x_3,Homo sapiens
34,12,TST11872_iPSC-BIO-2060884-1-1000nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-3x,iPSC_2060884_1_1000nM,iPSC-2060884-3x_1,Homo sapiens
35,12,TST11872_iPSC-BIO-2060884-2-1000nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-3x,iPSC_2060884_2_1000nM,iPSC-2060884-3x_2,Homo sapiens
36,12,TST11872_iPSC-BIO-2060884-3-1000nM.genome.sorted.bam,iPSC,2060884,iPSC-2060884-3x,iPSC_2060884_3_1000nM,iPSC-2060884-3x_3,Homo sapiens
37,13,TST11872_iPSC-BIO-2070692-1-5600nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-10x,iPSC_2070692_1_5600nM,iPSC-2070692-10x_1,Homo sapiens
38,13,TST11872_iPSC-BIO-2070692-2-5600nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-10x,iPSC_2070692_2_5600nM,iPSC-2070692-10x_2,Homo sapiens
39,13,TST11872_iPSC-BIO-2070692-3-5600nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-10x,iPSC_2070692_3_5600nM,iPSC-2070692-10x_3,Homo sapiens
40,14,TST11872_iPSC-BIO-2070692-1-1680nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-3x,iPSC_2070692_1_1680nM,iPSC-2070692-3x_1,Homo sapiens
41,14,TST11872_iPSC-BIO-2070692-2-1680nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-3x,iPSC_2070692_2_1680nM,iPSC-2070692-3x_1,Homo sapiens
42,14,TST11872_iPSC-BIO-2070692-3-1680nM.genome.sorted.bam,iPSC,2070692,iPSC-2070692-3x,iPSC_2070692_3_1680nM,iPSC-2070692-3x_3,Homo sapiens
43,15,TST11872_iPSC-BIO-2135644-1-1uM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-10x,iPSC_2135644_1_1uM   ,iPSC-2135644-10x_1,Homo sapiens
44,15,TST11872_iPSC-BIO-2135644-2-1uM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-10x,iPSC_2135644_2_1uM   ,iPSC-2135644-10x_2,Homo sapiens
45,15,TST11872_iPSC-BIO-2135644-3-1uM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-10x,iPSC_2135644_3_1uM   ,iPSC-2135644-10x_3,Homo sapiens
46,16,TST11872_iPSC-BIO-2135644-1-300nM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-3x,iPSC_2135644_1_300nM ,iPSC-2135644-3x_1,Homo sapiens
47,16,TST11872_iPSC-BIO-2135644-2-300nM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-3x,iPSC_2135644_2_300nM ,iPSC-2135644-3x_2,Homo sapiens
48,16,TST11872_iPSC-BIO-2135644-3-300nM.genome.sorted.bam,iPSC,2135644,iPSC-2135644-3x,iPSC_2135644_3_300nM ,iPSC-2135644-3x_3,Homo sapiens
49,17,TST11872_iPSC-BIO-2136770-1-1000nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-10x,iPSC_2136770_1_1000nM,iPSC-2136770-10x_1,Homo sapiens
50,17,TST11872_iPSC-BIO-2136770-2-1000nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-10x,iPSC_2136770_2_1000nM,iPSC-2136770-10x_2,Homo sapiens
51,17,TST11872_iPSC-BIO-2136770-3-1000nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-10x,iPSC_2136770_3_1000nM,iPSC-2136770-10x_3,Homo sapiens
52,18,TST11872_iPSC-BIO-2136770-1-300nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-3x,iPSC_2136770_1_300nM ,iPSC-2136770-3x_1,Homo sapiens
53,18,TST11872_iPSC-BIO-2136770-2-300nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-3x,iPSC_2136770_2_300nM ,iPSC-2136770-3x_2,Homo sapiens
54,18,TST11872_iPSC-BIO-2136770-3-300nM.genome.sorted.bam,iPSC,2136770,iPSC-2136770-3x,iPSC_2136770_3_300nM ,iPSC-2136770-3x_3,Homo sapiens
55,19,TST11872_iPSC-DMSO-1.genome.sorted.bam,iPSC,DMSO,iPSC-DMSO,iPSC_DMSO_1,iPSC_DMSO_1,Homo sapiens
56,19,TST11872_iPSC-DMSO-2.genome.sorted.bam,iPSC,DMSO,iPSC-DMSO,iPSC_DMSO_2,iPSC_DMSO_2,Homo sapiens
57,19,TST11872_iPSC-DMSO-3.genome.sorted.bam,iPSC,DMSO,iPSC-DMSO,iPSC_DMSO_3,iPSC_DMSO_3,Homo sapiens
58,20,TST11872_NGN2-BIO-1755497-1-40nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-10x,NGN2_1755497_1_40nM  ,NGN2_1755497_10x_1,Homo sapiens
59,20,TST11872_NGN2-BIO-1755497-2-40nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-10x,NGN2_1755497_2_40nM  ,NGN2_1755497_10x_2,Homo sapiens
60,20,TST11872_NGN2-BIO-1755497-3-40nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-10x,NGN2_1755497_3_40nM  ,NGN2_1755497_10x_3,Homo sapiens
61,21,TST11872_NGN2-BIO-1755497-1-12nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-3x,NGN2_1755497_1_12nM  ,NGN2_1755497_3x_1,Homo sapiens
62,21,TST11872_NGN2-BIO-1755497-2-12nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-3x,NGN2_1755497_2_12nM  ,NGN2_1755497_3x_2,Homo sapiens
63,21,TST11872_NGN2-BIO-1755497-3-12nM.genome.sorted.bam,NGN2,Branaplam,NGN2-1755497-3x,NGN2_1755497_3_12nM  ,NGN2_1755497_3x_3,Homo sapiens
64,22,TST11872_NGN2-BIO-1949634-1-10uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-10x,NGN2_1949634_1_10uM  ,NGN2-1949634-10x_1,Homo sapiens
65,22,TST11872_NGN2-BIO-1949634-2-10uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-10x,NGN2_1949634_2_10uM  ,NGN2-1949634-10x_2,Homo sapiens
66,22,TST11872_NGN2-BIO-1949634-3-10uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-10x,NGN2_1949634_3_10uM  ,NGN2-1949634-10x_3,Homo sapiens
67,23,TST11872_NGN2-BIO-1949634-1-3uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-3x,NGN2_1949634_1_3uM   ,NGN2-1949634-3x_1,Homo sapiens
68,23,TST11872_NGN2-BIO-1949634-2-3uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-3x,NGN2_1949634_2_3uM   ,NGN2-1949634-3x_2,Homo sapiens
69,23,TST11872_NGN2-BIO-1949634-3-3uM.genome.sorted.bam,NGN2,1949634,NGN2-1949634-3x,NGN2_1949634_3_3uM   ,NGN2-1949634-3x_3,Homo sapiens
70,24,TST11872_NGN2-BIO-2006152-1-150nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-10x,NGN2_2006152_1_150nM ,NGN2-2006152-10x_1,Homo sapiens
71,24,TST11872_NGN2-BIO-2006152-2-150nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-10x,NGN2_2006152_2_150nM ,NGN2-2006152-10x_2,Homo sapiens
72,24,TST11872_NGN2-BIO-2006152-3-150nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-10x,NGN2_2006152_3_150nM ,NGN2-2006152-10x_3,Homo sapiens
73,25,TST11872_NGN2-BIO-2006152-1-45nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-3x,NGN2_2006152_1_45nM  ,NGN2-2006152-3x_1,Homo sapiens
74,25,TST11872_NGN2-BIO-2006152-2-45nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-3x,NGN2_2006152_2_45nM  ,NGN2-2006152-3x_2,Homo sapiens
75,25,TST11872_NGN2-BIO-2006152-3-45nM.genome.sorted.bam,NGN2,2006152,NGN2-2006152-3x,NGN2_2006152_3_45nM  ,NGN2-2006152-3x_3,Homo sapiens
76,26,TST11872_NGN2-BIO-2059811-1-870nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-10x,NGN2_2059811_1_870nM ,NGN2-2059811-10x_1,Homo sapiens
77,26,TST11872_NGN2-BIO-2059811-2-870nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-10x,NGN2_2059811_2_870nM ,NGN2-2059811-10x_2,Homo sapiens
78,26,TST11872_NGN2-BIO-2059811-3-870nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-10x,NGN2_2059811_3_870nM ,NGN2-2059811-10x_3,Homo sapiens
79,27,TST11872_NGN2-BIO-2059811-1-261nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-3x,NGN2_2059811_1_261nM ,NGN2-2059811-3x_1,Homo sapiens
80,27,TST11872_NGN2-BIO-2059811-2-261nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-3x,NGN2_2059811_2_261nM ,NGN2-2059811-3x_2,Homo sapiens
81,27,TST11872_NGN2-BIO-2059811-3-261nM.genome.sorted.bam,NGN2,2059811,NGN2-2059811-3x,NGN2_2059811_3_261nM ,NGN2-2059811-3x_3,Homo sapiens
82,28,TST11872_NGN2-BIO-2060573-1-10uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-10x,NGN2_2060573_1_10uM  ,NGN2-2060573-10x_1,Homo sapiens
83,28,TST11872_NGN2-BIO-2060573-2-10uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-10x,NGN2_2060573_2_10uM  ,NGN2-2060573-10x_2,Homo sapiens
84,28,TST11872_NGN2-BIO-2060573-3-10uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-10x,NGN2_2060573_3_10uM  ,NGN2-2060573-10x_3,Homo sapiens
85,29,TST11872_NGN2-BIO-2060573-1-3uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-3x,NGN2_2060573_1_3uM   ,NGN2-2060573-3x_1,Homo sapiens
86,29,TST11872_NGN2-BIO-2060573-2-3uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-3x,NGN2_2060573_2_3uM   ,NGN2-2060573-3x_2,Homo sapiens
87,29,TST11872_NGN2-BIO-2060573-3-3uM.genome.sorted.bam,NGN2,2060573,NGN2-2060573-3x,NGN2_2060573_3_3uM   ,NGN2-2060573-3x_3,Homo sapiens
88,30,TST11872_NGN2-BIO-2060884-1-3700nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-10x,NGN2_2060884_1_3700nM,NGN2-2060884-10x_1,Homo sapiens
89,30,TST11872_NGN2-BIO-2060884-2-3700nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-10x,NGN2_2060884_2_3700nM,NGN2-2060884-10x_2,Homo sapiens
90,30,TST11872_NGN2-BIO-2060884-3-3700nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-10x,NGN2_2060884_3_3700nM,NGN2-2060884-10x_3,Homo sapiens
91,31,TST11872_NGN2-BIO-2060884-1-1000nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-3x,NGN2_2060884_1_1000nM,NGN2-2060884-3x_1,Homo sapiens
92,31,TST11872_NGN2-BIO-2060884-2-1000nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-3x,NGN2_2060884_2_1000nM,NGN2-2060884-3x_2,Homo sapiens
93,31,TST11872_NGN2-BIO-2060884-3-1000nM.genome.sorted.bam,NGN2,2060884,NGN2-2060884-3x,NGN2_2060884_3_1000nM,NGN2-2060884-3x_3,Homo sapiens
94,32,TST11872_NGN2-BIO-2070692-1-5600nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-10x,NGN2_2070692_1_5600nM,NGN2-2070692-10x_1,Homo sapiens
95,32,TST11872_NGN2-BIO-2070692-2-5600nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-10x,NGN2_2070692_2_5600nM,NGN2-2070692-10x_2,Homo sapiens
96,32,TST11872_NGN2-BIO-2070692-3-5600nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-10x,NGN2_2070692_3_5600nM,NGN2-2070692-10x_3,Homo sapiens
97,33,TST11872_NGN2-BIO-2070692-1-1680nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-3x,NGN2_2070692_1_1680nM,NGN2-2070692-3x_1,Homo sapiens
98,33,TST11872_NGN2-BIO-2070692-2-1680nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-3x,NGN2_2070692_2_1680nM,NGN2-2070692-3x_1,Homo sapiens
99,33,TST11872_NGN2-BIO-2070692-3-1680nM.genome.sorted.bam,NGN2,2070692,NGN2-2070692-3x,NGN2_2070692_3_1680nM,NGN2-2070692-3x_3,Homo sapiens
100,34,TST11872_NGN2-BIO-2135644-1-1uM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-10x,NGN2_2135644_1_1uM   ,NGN2-2135644-10x_1,Homo sapiens
101,34,TST11872_NGN2-BIO-2135644-2-1uM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-10x,NGN2_2135644_2_1uM   ,NGN2-2135644-10x_2,Homo sapiens
102,34,TST11872_NGN2-BIO-2135644-3-1uM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-10x,NGN2_2135644_3_1uM   ,NGN2-2135644-10x_3,Homo sapiens
103,35,TST11872_NGN2-BIO-2135644-1-300nM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-3x,NGN2_2135644_1_300nM ,NGN2-2135644-3x_1,Homo sapiens
104,35,TST11872_NGN2-BIO-2135644-2-300nM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-3x,NGN2_2135644_2_300nM ,NGN2-2135644-3x_2,Homo sapiens
105,35,TST11872_NGN2-BIO-2135644-3-300nM.genome.sorted.bam,NGN2,2135644,NGN2-2135644-3x,NGN2_2135644_3_300nM ,NGN2-2135644-3x_3,Homo sapiens
106,36,TST11872_NGN2-BIO-2136770-1-1000nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-10x,NGN2_2136770_1_1000nM,NGN2-2136770-10x_1,Homo sapiens
107,36,TST11872_NGN2-BIO-2136770-2-1000nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-10x,NGN2_2136770_2_1000nM,NGN2-2136770-10x_2,Homo sapiens
108,36,TST11872_NGN2-BIO-2136770-3-1000nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-10x,NGN2_2136770_3_1000nM,NGN2-2136770-10x_3,Homo sapiens
109,37,TST11872_NGN2-BIO-2136770-1-300nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-3x,NGN2_2136770_1_300nM ,NGN2-2136770-3x_1,Homo sapiens
110,37,TST11872_NGN2-BIO-2136770-2-300nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-3x,NGN2_2136770_2_300nM ,NGN2-2136770-3x_2,Homo sapiens
111,37,TST11872_NGN2-BIO-2136770-3-300nM.genome.sorted.bam,NGN2,2136770,NGN2-2136770-3x,NGN2_2136770_3_300nM ,NGN2-2136770-3x_3,Homo sapiens
112,38,TST11872_NGN2-DMSO-1.genome.sorted.bam,NGN2,DMSO,NGN2-DMSO,NGN2_DMSO_1,NGN2_DMSO_1,Homo sapiens
113,38,TST11872_NGN2-DMSO-2.genome.sorted.bam,NGN2,DMSO,NGN2-DMSO,NGN2_DMSO_2,NGN2_DMSO_2,Homo sapiens
114,38,TST11872_NGN2-DMSO-3.genome.sorted.bam,NGN2,DMSO,NGN2-DMSO,NGN2_DMSO_3,NGN2_DMSO_3,Homo sapiens
