,Branaplam_01x,Branaplam_03x,Branaplam_10x,Risdiplam_01x,Risdiplam_03x,Risdiplam_10x
80,0,1,1,0,0,0
81,0,1,0,0,0,0
82,0,1,0,0,0,0
83,0,1,0,0,0,0
84,0,0,0,0,0,1
85,0,0,1,0,0,0
86,0,1,0,0,0,0
87,0,1,1,0,0,0
88,0,1,0,0,0,0
89,0,1,1,0,0,0
90,0,1,0,0,0,0
91,1,1,0,0,0,0
92,0,1,1,0,0,0
93,0,1,1,0,0,0
94,1,1,1,0,1,1
95,0,1,0,0,0,1
96,0,0,0,1,0,0
97,1,1,1,0,0,1
98,0,1,1,0,0,0
99,1,1,1,0,0,0
100,0,1,0,0,0,1
101,0,1,1,0,0,0
102,0,1,1,0,0,0
103,0,1,1,0,1,1
104,1,1,1,0,0,0
105,0,1,1,0,0,1
106,0,1,1,0,0,0
107,1,1,1,0,0,0
108,0,0,0,0,1,0
109,0,1,0,0,0,0
110,0,0,1,0,0,0
111,0,1,1,0,0,0
112,0,1,0,0,0,1
113,0,0,0,0,0,1
114,0,1,0,0,0,0
115,0,0,0,0,0,1
116,0,1,1,0,0,0
117,1,1,1,0,1,1
118,0,1,1,0,0,0
119,1,1,1,1,1,1
120,0,0,1,0,0,0
121,0,0,1,0,0,0
122,0,0,0,0,0,1
123,1,1,1,0,0,0
124,1,1,1,1,1,1
125,0,0,1,0,0,0
126,0,1,1,0,0,0
127,0,0,0,0,0,1
128,0,1,1,0,0,0
129,0,0,0,0,0,1
130,0,1,1,0,0,0
131,1,1,0,0,0,0
132,0,1,0,0,0,0
133,0,0,0,0,0,1
134,0,1,1,0,0,1
135,0,1,1,0,0,1
136,1,1,1,0,1,1
137,0,1,1,0,0,0
138,0,1,1,0,0,0
139,0,1,0,1,0,0
140,1,1,1,0,0,0
141,1,1,1,1,1,1
142,1,1,1,0,0,0
143,0,0,1,0,0,1
144,0,1,0,0,0,0
145,0,1,1,0,0,0
146,1,1,1,0,1,1
147,1,1,1,0,0,0
148,1,1,1,0,0,0
149,1,0,1,0,0,0
150,0,1,0,0,0,0
151,1,1,1,0,0,0
152,0,1,1,0,0,0
153,0,1,1,0,0,0
154,0,1,1,0,0,0
155,1,0,0,0,0,1
156,0,1,1,0,0,0
157,0,1,1,0,0,0
158,1,1,1,1,1,1
159,0,1,1,0,0,0
160,0,1,1,0,0,1
161,0,0,0,0,0,1
162,0,0,0,0,0,1
163,0,1,1,0,0,0
164,0,1,0,0,0,0
165,1,1,1,0,0,1
166,0,0,0,0,0,1
167,0,1,1,0,0,0
168,1,1,1,0,1,1
169,1,1,1,0,0,0
170,0,0,1,0,0,0
171,0,1,1,0,0,0
172,0,0,0,0,0,1
173,1,1,1,0,0,0
174,0,0,1,0,0,0
175,0,0,1,0,0,0
176,0,1,0,0,0,0
177,0,1,1,0,0,1
178,0,1,1,0,0,1
179,0,1,1,0,0,0
180,0,1,1,0,0,0
181,0,1,1,0,0,1
182,0,0,1,0,0,1
183,0,0,1,0,0,0
184,1,1,1,0,1,1
185,0,1,1,0,1,1
186,0,0,0,0,0,1
187,0,1,1,0,0,0
188,0,1,1,0,0,0
189,0,1,1,0,0,0
190,0,0,0,0,1,1
191,0,1,1,0,0,0
192,1,1,1,0,1,1
193,1,1,1,0,0,0
194,0,0,0,1,0,0
195,1,1,1,0,0,0
196,0,0,0,0,0,1
197,1,1,1,0,0,1
198,0,0,0,0,0,1
199,1,1,1,0,0,0
200,0,1,1,0,0,0
201,0,1,1,0,0,0
