"","dPSI_NGN2_1949634.10uM"
"NEK9",0.663862187224406
"TNFRSF19",0.663422097584247
"ARMCX6",0.663
"HDAC8",0.663
"LINGO2",0.662108356307173
"EBAG9",0.662
"TASOR2",0.661
"RASGRF1",0.659860304632899
"TAB2",0.659670030694887
"NCOR1",0.659
"HECTD4",0.657683943787871
"HEATR5B",0.656900747391771
"FAM207A",0.655755497881252
"SLC35E4",0.654548851078013
"PPP4R4",0.65449685585282
"RAPGEF1",0.653
"PCDH9",0.652225927600604
"ARID1A",0.650313444615323
"ATG4A",0.65
"KIF26B",0.647923220463008
"ATP6AP1L",0.6475246844024
"MARCHF1",0.646847117613813
"OSBPL6",0.646045426986165
"SLC7A6",0.646
"MZF1",0.643669571965232
"TXNL4B",0.641737197267888
"FAM81A",0.640031345341761
"ERBIN",0.639591444723363
"FGF12",0.637340748245365
"PLCD1",0.637336223780184
"MACF1",0.636744225444761
"ZNF585B",0.636547255056094
"CLK4",0.636
"CPSF4",0.636
"FAAP20",0.636
"FAM162A",0.633
"CYTH3",0.632773987585711
"AIM2",0.632548710270293
"TMEM18",0.632
"PHF21B",0.63167055767821
"FSD1",0.631320201176766
"HMOX2",0.631
"NELFA",0.631
"SORBS2",0.630894388421317
"MYT1L",0.628144330287136
"UFD1",0.628
"ZNF433",0.625
"KLHL14",0.624780206573308
"NUTM2A-AS1",0.622
"RBKS",0.62148088755735
"CCT7",0.621
"MCCC2",0.619787738280181
"CNTN1",0.617593516042407
"TNPO3",0.617
"CSTF3",0.616189584562768
"IL6ST",0.616
"LINC01145",0.614
"SPTLC1",0.614
"ATP6V1B2",0.612807624308361
"AC078815.1",0.612407128638216
"JAZF1",0.607265962565808
"ZDHHC17",0.607146161063161
"ADD1",0.606823268038011
"DHRS4-AS1",0.60599140355242
"DNTTIP1",0.605638782705702
"TAF6",0.604867186496233
"CNNM2",0.604828950851097
"MRTFB",0.601884958614892
"RALGAPA2",0.601727301040032
"SNAP91",0.600568330756579
"FRAS1",0.598
"HERC1",0.59744381676999
"PPP4R3A",0.595153927501459
"DYRK1A",0.595
"SETD5",0.595
"ANKRD36C",0.592181345010662
"TENM1",0.591011561265323
"IGF2BP3",0.591
"AIFM1",0.590921230827353
"FAM193A",0.590617245465543
"LHX4",0.590340407152526
"TTC28-AS1",0.58990014080368
"TASOR",0.589086306307773
"MFSD11",0.586
"RAD21",0.585599607605712
"AC013489.1",0.585
"TENM3",0.583874299511104
"WDR17",0.583854863653801
"ZNF675",0.583370231746593
"ST7",0.582735307931303
"RASSF4",0.581594502188737
"ZNF25",0.581533616003766
"ANKS3",0.581489867464142
