"","dPSI_iPSC_1949634.3uM"
"MTMR3",0.436841100420993
"APOBEC3D",0.436529263155886
"CD200",0.436405116095354
"PGAP2",0.436
"IL6ST",0.435816826639547
"AGK",0.435794254002255
"ZXDC",0.434
"IDH1",0.433983620666966
"AL022318.4",0.433951482790566
"LDAH",0.433919600243259
"FAM161A",0.433
"SAR1A",0.433
"MED12L",0.432477750465742
"CARD8",0.432
"EML4",0.432
"FBN3",0.432
"PNPLA5",0.431812608690463
"BLACAT1",0.431766568821948
"EPN1",0.431027527557437
"UNC13A",0.429950441508611
"SLC12A8",0.4290548380389
"KDM8",0.428192080878347
"RIPOR2",0.427965289042118
"SLC41A1",0.427754092967926
"NUTM2A-AS1",0.427045428490802
"DPAGT1",0.426
"TMEM108",0.426
"EYA3",0.425
"SRCAP",0.425
"RFFL",0.424
"ATAT1",0.423
"MTG1",0.423
"PROSER3",0.423
"RAB23",0.422023910588659
"INO80",0.421317883523268
"TNRC6C",0.421
"CDK5RAP2",0.42
"SERGEF",0.418497673442333
"PARP4",0.418296169834966
"AP2M1",0.418118030364276
"POLDIP3",0.418
"ZNF777",0.417882609042391
"NSUN4",0.417790234035827
"HSPA4L",0.417
"MGA",0.417
"PGAP6",0.416461864538698
"M6PR",0.416160917593376
"ARHGEF7",0.416077298649492
"CLN3",0.416
"DAZL",0.415633747796751
"ZNF185",0.415211638897225
"CR2",0.415
"GPHN",0.414989788442255
"ANGEL2",0.414968918892645
"TULP1",0.41450699566653
"ELP6",0.414
"TAB2",0.412227199435379
"DAB1",0.412179714742487
"ZNF317",0.411250045225771
"BORCS8-MEF2B",0.410933892622079
"AC118553.2",0.408386607300027
"DDX58",0.408127857264234
"GPR176",0.408
"BORCS8",0.407
"SNX24",0.406030110968377
"CCDC88A",0.406
"YPEL5",0.406
"ZSCAN31",0.406
"ARHGAP5",0.40593337426589
"LINC02387",0.405836004309021
"MB21D2",0.405591609936254
"AC138894.1",0.405
"EEF1D",0.404
"NSUN7",0.403100304717511
"FYCO1",0.402131093102423
"MDM2",0.402
"CDCA7",0.40163702281121
"HSD17B4",0.400459071925486
"CYP2R1",0.40026551362099
"CAPRIN2",0.4
"ZNF268",0.4
"TMTC1",0.399
"PHF20L1",0.398
"VWDE",0.398
"PDLIM5",0.397949277838201
"MAP4K4",0.397
"PRDM4",0.397
"PIGN",0.396
"SNHG14",0.396
"ZMIZ1",0.396
"CEP41",0.394665292365855
"ADCY3",0.394
"AOPEP",0.394
"DDB2",0.394
"MMS19",0.394
"WASHC5",0.394
"SLC43A1",0.393846204806529
"RGS12",0.393083368981978
"ADAL",0.393
"RPP14",0.392
"STOX2",0.391296299834415
"MRPL39",0.391086864100181
"SNHG16",0.391
"LINC01145",0.390807638183563
"TC2N",0.390165678497311
"MFSD11",0.39
"OSBPL3",0.389738934086468
"CTTNBP2",0.389
"MINDY2",0.387657516632899
"PRUNE1",0.387
"SALL4",0.387
"ETNK1",0.386394638724452
"ZMYM5",0.385652353203223
"FGFR1",0.385
"LRP8",0.385
"NIPA1",0.385
"WNK3",0.384407016196781
"AXIN1",0.384
"DENND2B",0.383403623447034
"KIAA1109",0.383344510370886
"PRKAB2",0.383
"ZKSCAN7",0.383
"CD40",0.38181576407525
"ADAMTS19",0.381
"DHRSX",0.38088242501171
"KDM6A",0.38
"CEP162",0.37905816474075
"ZCCHC8",0.379
"MANEA",0.376801723608651
"ADAM17",0.376
"PPHLN1",0.376
"PVT1",0.376
"PIK3CD",0.375190719632586
"ARMCX6",0.375
"IGF2BP3",0.375
"TANGO2",0.374596404407134
"SERP2",0.374513976851861
"RABGAP1L",0.374033069370871
"TJP2",0.373986408472343
"TRIO",0.373
"MARCHF8",0.372751337775186
"EML1",0.372640794439342
"TBRG4",0.372
"WSB1",0.372
"ZNF197",0.372
"ZNF415",0.372
"ARHGAP44",0.371
"DZIP1",0.370012427915081
"GGA1",0.37
"PLEKHM1",0.37
"POLM",0.368724977000429
"SNX7",0.368028704155865
"PPP2R5C",0.368
"STRIP1",0.367
"TRMT2B",0.367
"ZFYVE9",0.366546055483177
"PCNX2",0.366
"RCC1",0.365891653923333
"TYW5",0.365738678852465
"CCT7",0.365
"GGN",0.365
"NPHP4",0.365
"TEX261",0.365
"WAC",0.365
"ZNF350",0.364916799507407
"CYRIB",0.364890783739985
"RFX1",0.364
"TMEM50B",0.363
"DYRK1A",0.362
"LINC00667",0.362
"UNK",0.361248284016304
"ANKRD9",0.361
"FIP1L1",0.360977428563499
"LRRN1",0.36058276024773
"CCDC18",0.360420092374115
"PPP6C",0.360092403012144
"NEO1",0.36
"ERCC8",0.359
"STRN4",0.359
"TLN1",0.358678944164254
"TUBBP5",0.358078660188832
"NUP54",0.358
"UPP1",0.358
"FAM207A",0.357089469023158
"ASAP2",0.357
"BSCL2",0.356006863736695
"POGZ",0.356
"PXMP2",0.356
"KLHL36",0.354053996616538
"NEPRO",0.354
"PSMA3-AS1",0.354
"TBL1X",0.353451408413133
"CHD2",0.353120445504418
"CLTC",0.353
"AGO3",0.351333413022708
"COQ6",0.351
"DCUN1D4",0.351
"MGAT5B",0.351
"MRTFA",0.351
"SH3PXD2A",0.351
"SAFB",0.350907176487186
"BAZ2B",0.35
"SGCE",0.35
"CALM2",0.349
"ZNF10",0.348541998739219
"ANKRD18CP",0.348
"MTHFD1",0.348
"AL358113.1",0.347534096357013
"SSR1",0.347
"CA14",0.346
"DCAF17",0.346
"FUBP3",0.346
"FAM157A",0.345437006341843
"GUSBP11",0.345
"MEMO1",0.345
"NECAP2",0.345
"ANOS2P",0.344329608519036
"SYNGAP1",0.344
"TTC23",0.344
"VEZT",0.344
"SPEG",0.343418564482914
"BIN1",0.343
"HTT",0.342
"KIF16B",0.342
"MRTFB",0.342
"PPFIA1",0.342
"SSH1",0.341
"PLK3",0.340825960672649
"GRAMD1A",0.34005558982092
"DHRS11",0.34
"PPIE",0.34
"TOE1",0.34
"LINC01484",0.339
"NEU3",0.339
"RAB28",0.339
"SAC3D1",0.339
"FAM193B",0.338
"INTU",0.338
"Z83844.1",0.338
"BRD2",0.337
"ESRP1",0.337
"LATS1",0.337
"CLASP1",0.33683008188459
"ANKRD13C",0.336055359312126
"DAGLB",0.336
"HMGXB3",0.336
"USP30",0.336
"LRIF1",0.335968198902214
"TNRC6B",0.335025603495142
"CRIP3",0.335
"GZF1",0.335
"PIGA",0.335
"PUS1",0.335
"CHD1L",0.334
"COL4A5",0.334
"EIF4A2",0.334
"FAM118A",0.334
"MLPH",0.334
"DENND5A",0.333
"MIB2",0.333
"MIR924HG",0.333
"ANAPC16",0.332
"CEP164",0.332
"EMSY",0.332
"FAM135A",0.332
"FIGNL1",0.332
"LRRC28",0.332
"SMPD4BP",0.332
"MUC20-OT1",0.331637672006811
"OCLN",0.331610511770091
"PHYKPL",0.33077234246109
"RPS10",0.330664435880973
"SPOPL",0.330507240108614
"CCDC130",0.330333614953603
"DDX18",0.33
"NASP",0.33
"RBM4B",0.33
"PHF8",0.329190378428939
"GRIP1",0.329
"BUB1",0.328603519111413
"MTCP1",0.328524317756694
"RIMS2",0.32840038369242
"FAAP20",0.328
"HMGN1",0.328
"MED16",0.328
"RBM39",0.328
"ZNF215",0.328
"MICALL1",0.327829638387987
"CXorf38",0.327
"PARPBP",0.327
"PCM1",0.327
"TAF1A",0.327
"DHRS3",0.326
"TRIM4",0.325475744228334
"TBC1D1",0.325422506502749
"BCS1L",0.325
"NSD2",0.325
"MED15",0.3246346449164
"SELENOO",0.324316800571917
"C2CD5",0.324
"CEP152",0.324
"CNTRL",0.324
"MACROH2A1",0.324
"PREX2",0.323923206775055
"PHLDB1",0.323
"POLQ",0.323
"JAKMIP2-AS1",0.322550594980349
"CLEC16A",0.322
"ENTPD6",0.322
"GSE1",0.322
"TARBP2",0.322
"ANKHD1",0.321
"VPS13A",0.321
"SRGAP1",0.32067032733124
"RRN3P2",0.320627816979342
"LRBA",0.320447501430297
"CMSS1",0.32
"MFF",0.32
"TNK2",0.32
"ZNF519",0.32
"SLC35A3",0.3198485341608
"DIAPH2",0.319037463089324
"DDX50",0.319
"RIF1",0.319
"ZC3H14",0.319
"KCTD20",0.318
"TNRC6A",0.318
"UBE2I",0.318
"ICE2",0.317264014309242
"SORBS1",0.317
"NCKAP5L",0.316515639161261
"CNOT4",0.316
"L1CAM",0.316
"PCNX1",0.316
"GSTO2",0.315
"SELENBP1",0.315
"SHROOM4",0.315
"CHDH",0.314
"PTPRS",0.314
"TCTN3",0.314
"TSPAN7",0.314
"ZNF836",0.313190208099159
"PBRM1",0.313
"AC138969.1",0.312949498021589
"OCLNP1",0.312166209037739
"CNOT1",0.312
"FOXP1",0.312
"PFDN5",0.312
"TRIT1",0.312
"ELMO2",0.311
"PKP4",0.311
"SLC25A17",0.311
"TSPAN2",0.311
"CD99P1",0.310708587795022
"PPIL2",0.310520589749748
"RCOR3",0.310019281362439
"CAPN10",0.31
"PI4KB",0.31
"USP45",0.31
"WIZ",0.31
"ASTN2",0.309772113212214
"TBC1D8",0.309619764202007
"CRIM1",0.309
"CTNND2",0.309
"GTPBP2",0.309
"XRN2",0.309
"PRELID3A",0.308120779579947
"ASPM",0.308
"CERS4",0.308
"GGCT",0.308
"HNRNPUL2-BSCL2",0.308
"HUWE1",0.308
"P4HTM",0.308
"AFMID",0.307
"CD47",0.307
"HIRA",0.307
"MAP2",0.307
"MGAT4B",0.307
"SEPTIN7",0.307
"MARCHF7",0.306024894719046
"AKAP9",0.306
