Row.names,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH.x,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH.x,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x
PDCD6IPP2,0.338305388276291,NA,0.383219346965089,NA,NA
PDE5A,-0.371709729265252,NA,-0.362659717580003,NA,NA
PDE7A,0.350325779376945,0.310846075775267,0.400956024848288,0.360843172178892,NA
PDSS1,0.267329854006401,NA,0.26140949924363,NA,NA
PDXDC1,-0.441913993692139,NA,-0.441864481893084,NA,NA
PGAP3,-0.386575775727366,NA,NA,NA,NA
PHIP,-0.254497768373028,NA,NA,NA,NA
PIF1,0.428265684047384,NA,0.390494149911822,NA,NA
PIP4P2,-0.330919415412144,NA,NA,NA,NA
PITPNB,NA,NA,-0.40666348483944,NA,NA
PKD2,-0.255333239215135,NA,NA,NA,NA
PMS2P4,0.309362109418772,NA,NA,NA,NA
PNISR,NA,NA,0.250521595251709,NA,NA
POGLUT1,-0.255689416281015,NA,-0.25373813310731,NA,NA
POLG,-0.358635439542946,NA,-0.364468018266822,NA,NA
POLN,NA,NA,-0.382301869274604,NA,NA
POMT2,0.332711536816291,0.355221391506032,0.325854154642156,0.348453807853848,NA
PPCS,0.337332743154313,NA,0.330201350627363,NA,NA
PPIEL,NA,NA,0.25105849350014,NA,NA
PPP3CC,-0.373278365136066,NA,-0.342913394693803,NA,NA
PPP4R3A,-0.277693900536752,NA,-0.257330495113863,NA,NA
PPP4R4,-0.264492054061751,NA,NA,NA,NA
PRKRA,-0.369429235449955,NA,-0.350009355745564,NA,NA
PRPF38B,-0.307885127079122,NA,-0.296463824065095,NA,NA
PRPF39,-0.33178797726018,NA,-0.319580182578023,NA,NA
PSMA1,0.370257990664774,NA,0.363359440354461,NA,NA
PTBP2,0.443960794796766,NA,0.453537148363255,NA,NA
PTCH1,0.30319660136381,NA,NA,NA,NA
