,GM_BIO_2196772_10x_vs_GM_Risdiplam_10x,GM_BIO_2207180_10x_vs_GM_Risdiplam_10x,GM_BIO_2178782_10x_vs_GM_Risdiplam_10x,GM_BIO_2196895_10x_vs_GM_Risdiplam_10x,GM_BIO_2197306_10x_vs_GM_Risdiplam_10x,GM_BIO_2206678_10x_vs_GM_Risdiplam_10x,GM_BIO_2201042_10x_vs_GM_Risdiplam_10x,GM_BIO_2204984_10x_vs_GM_Risdiplam_10x,GM_BIO_2199562_10x_vs_GM_Risdiplam_10x,GM_BIO_2186827_10x_vs_GM_Risdiplam_10x,GM_BIO_2196772_3x_vs_GM_Risdiplam_3x,GM_BIO_2207180_3x_vs_GM_Risdiplam_3x,GM_BIO_2178782_3x_vs_GM_Risdiplam_3x,GM_BIO_2196895_3x_vs_GM_Risdiplam_3x,GM_BIO_2197306_3x_vs_GM_Risdiplam_3x,GM_BIO_2206678_3x_vs_GM_Risdiplam_3x,GM_BIO_2201042_3x_vs_GM_Risdiplam_3x,GM_BIO_2204984_3x_vs_GM_Risdiplam_3x,GM_BIO_2199562_3x_vs_GM_Risdiplam_3x,GM_BIO_2186827_3x_vs_GM_Risdiplam_3x,GM_BIO_2196772_3x_vs_GM_DMSO,GM_BIO_1949634_3x_vs_GM_DMSO,GM_BIO_2207180_3x_vs_GM_DMSO,GM_BIO_2178782_3x_vs_GM_DMSO,GM_BIO_2196895_3x_vs_GM_DMSO,GM_BIO_2197306_3x_vs_GM_DMSO,GM_BIO_2206678_3x_vs_GM_DMSO,GM_BIO_2201042_3x_vs_GM_DMSO,GM_BIO_2204984_3x_vs_GM_DMSO,GM_BIO_2199562_3x_vs_GM_DMSO,GM_BIO_2186827_3x_vs_GM_DMSO,GM_BIO_2196772_10x_vs_GM_DMSO,GM_BIO_1949634_10x_vs_GM_DMSO,GM_BIO_2207180_10x_vs_GM_DMSO,GM_BIO_2178782_10x_vs_GM_DMSO,GM_BIO_2196895_10x_vs_GM_DMSO,GM_BIO_2197306_10x_vs_GM_DMSO,GM_BIO_2206678_10x_vs_GM_DMSO,GM_BIO_2201042_10x_vs_GM_DMSO,GM_BIO_2204984_10x_vs_GM_DMSO,GM_BIO_2199562_10x_vs_GM_DMSO,GM_BIO_2186827_10x_vs_GM_DMSO
BCL2L15,NA,NA,1.58734056698499,NA,NA,NA,NA,NA,1.89909486163221,1.68617305545074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34301524504817,NA,NA,2.64594883829163,NA,1.68514190941186,NA,1.76384226796354,2.18625004155909,2.94439818105848,2.74045882930288
TSPAN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736154224794052,NA
NGF-AS1,0.907424656272242,NA,0.653937193338832,NA,NA,NA,NA,0.797068517994702,1.26267375371495,1.05792309000847,NA,NA,NA,NA,NA,NA,NA,NA,0.671809188309046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706043456650659,NA,NA,NA,NA,NA,NA,NA,0.593467370164567,1.06630833020287,0.858200014870175
NGF,NA,NA,NA,NA,NA,NA,NA,NA,-0.728012120273997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.648900452964744,NA
MAN1A2,-0.809647341827777,NA,-1.17514203009784,NA,NA,NA,NA,NA,-1.45654102177484,-0.68593225622549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.982299011649253,NA,NA,-1.34860173993107,NA,NA,NA,NA,-0.715827360358716,-1.62861536383265,-0.859398031494876
FCGR2A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05730980991096,NA
COP1,NA,0.689929693993054,-0.941383655413287,0.65206777481206,NA,0.699400301940928,0.721541710528576,0.794069278686029,NA,0.664506849191832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.784081380518702,NA,-1.72304414581533,NA,NA,NA,NA,NA,NA,NA
PLA2G4A,-0.667082514800687,NA,-0.668969754794361,NA,NA,NA,NA,-0.941892749233876,-1.3618678586245,-0.718801589343884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.779594369255505,NA,NA,-0.781536125581163,NA,NA,NA,NA,-1.0701847314677,-1.47627516961565,-0.808679365390443
KCNT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1822149171525,NA,-2.68661554303386,NA,NA,NA,NA,-2.32714766309275,-2.14852617641312,-2.14997377837258,NA
SERTAD4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.734158429302817,NA
