dPSI_TST11872_iPSC.BIO.2006152.45nM,dPSI_iPSC.6152.3x,dPSI_TST11872_iPSC.BIO.2006152.150nM,dPSI_iPSC.6152.10x,dPSI_TST11872_NGN2.BIO.2006152.45nM,dPSI_NGN2.6152.3x,dPSI_TST11872_NGN2.BIO.2006152.150nM,dPSI_NGN2.6152.10x
0.290189086903792,0.313,0.588013575521796,NA,0.650996993885202,0.398914738365771,0.726,0.715467016821067
0.333802463607929,0.704,0.415320482500778,NA,0.342,0.266706974422561,0.43,0.67
0.446943218831285,0.516889175692161,0.701375833971047,NA,0.379189308361628,0.354,0.757635744478529,0.541
0.307,0.304,0.465,NA,0.434,0.371,0.476,0.460491826639579
0.29075527647987,NA,0.341,NA,0.319,0.513136820040606,0.348,0.709466028730594
0.520978717546436,NA,0.301130772568231,NA,0.535513426341478,0.318245827600568,0.649497159733255,0.73071411219674
0.503387649313856,NA,0.5870624763278,NA,0.544,0.382,0.313,0.437
NA,NA,NA,NA,0.443,0.4,0.636,0.538425677016698
NA,NA,NA,NA,0.341098549588275,0.299023742240538,0.372570602202433,0.476808145233518
NA,NA,NA,NA,0.442312838970498,0.33,0.685305687077562,0.613293387998096
NA,NA,NA,NA,0.474,0.310816190050291,0.518,0.537
NA,NA,NA,NA,0.654133809959983,0.316,0.753444390425295,0.417
NA,NA,NA,NA,0.568315591937423,0.509894682513559,0.928090521538434,0.433
NA,NA,NA,NA,0.428174832634584,0.720509398680798,0.635560062439291,0.727
NA,NA,NA,NA,0.351,0.439,0.397,0.886923301161764
NA,NA,NA,NA,0.378690927677992,0.347,0.611054396099911,0.508728179533978
NA,NA,NA,NA,0.355489123898135,0.397,0.530292944664261,0.552
NA,NA,NA,NA,0.351,0.461210397117836,0.632,0.366
NA,NA,NA,NA,0.366,0.350407034415646,0.314,0.356
NA,NA,NA,NA,0.503,0.361,0.313,NA
NA,NA,NA,NA,0.494,0.446414640874911,0.494,NA
NA,NA,NA,NA,0.346,0.301282671568438,0.394,NA
NA,NA,NA,NA,0.571497777266498,0.357,0.813802591315326,NA
NA,NA,NA,NA,0.303553395551188,0.288841496602035,0.479817809714593,NA
NA,NA,NA,NA,0.258477247921269,0.396,0.407,NA
NA,NA,NA,NA,0.352904172261174,0.387,0.481056138117116,NA
NA,NA,NA,NA,0.565231169591333,0.310630780515194,0.904354189431049,NA
NA,NA,NA,NA,0.373,0.289030911455485,0.78,NA
NA,NA,NA,NA,0.726673690562951,0.439,0.91628651843036,NA
NA,NA,NA,NA,0.388556123656635,0.450874884883255,0.301,NA
NA,NA,NA,NA,0.369327567100596,0.39,0.636833547634265,NA
NA,NA,NA,NA,0.327578241706292,0.265295435729365,0.575025458510517,NA
NA,NA,NA,NA,0.455656830254495,0.364051811327148,0.689648686291858,NA
NA,NA,NA,NA,0.391,0.504,0.8,NA
NA,NA,NA,NA,0.331126597808086,0.368,0.706391685579159,NA
NA,NA,NA,NA,0.593902347677396,0.520346323375745,0.90023422488187,NA
NA,NA,NA,NA,0.31061832266889,0.612269849629271,0.540614713983636,NA
NA,NA,NA,NA,0.302,0.294471507549583,0.369,NA
NA,NA,NA,NA,0.466,NA,0.536,NA
NA,NA,NA,NA,0.325,NA,0.38,NA
NA,NA,NA,NA,0.36563638210185,NA,0.803360743922791,NA
NA,NA,NA,NA,0.539588458848038,NA,0.506272188778555,NA
NA,NA,NA,NA,0.464661288116576,NA,0.399,NA
NA,NA,NA,NA,0.259943309454444,NA,0.326,NA
NA,NA,NA,NA,0.371,NA,0.545842189465368,NA
NA,NA,NA,NA,0.372447775562998,NA,0.769271219838947,NA
NA,NA,NA,NA,0.30540327556983,NA,0.469,NA
NA,NA,NA,NA,0.429320166160656,NA,0.282165220845989,NA
NA,NA,NA,NA,0.382,NA,0.584,NA
NA,NA,NA,NA,0.346705403202711,NA,0.461574248126798,NA
NA,NA,NA,NA,0.434449899936423,NA,0.5527672256077,NA
NA,NA,NA,NA,0.324,NA,0.367,NA
NA,NA,NA,NA,0.401866964908478,NA,NA,NA
NA,NA,NA,NA,0.359,NA,NA,NA
NA,NA,NA,NA,0.423681449186521,NA,NA,NA
NA,NA,NA,NA,0.431676874762862,NA,NA,NA
NA,NA,NA,NA,0.285329997766163,NA,NA,NA
NA,NA,NA,NA,0.322,NA,NA,NA
NA,NA,NA,NA,0.276698983890683,NA,NA,NA
NA,NA,NA,NA,0.306,NA,NA,NA
NA,NA,NA,NA,0.272815039045584,NA,NA,NA
NA,NA,NA,NA,0.483,NA,NA,NA
NA,NA,NA,NA,0.322,NA,NA,NA
NA,NA,NA,NA,0.359,NA,NA,NA
NA,NA,NA,NA,0.373,NA,NA,NA
NA,NA,NA,NA,0.412979523512199,NA,NA,NA
NA,NA,NA,NA,0.349,NA,NA,NA
