"","X","dPSI_iPSC_2006152_3X","X.1","dPSI_iPSC_2139701_3X","X.2","dPSI_iPSC_2174714_3X","X.3","dPSI_iPSC_2174748_3X","X.4","dPSI_iPSC_2175420_3X","X.5","dPSI_iPSC.2184088_3X","X.6","dPSI_iPSC_2184090_3X","X.7","dPSI_iPSC_2184741_3X","X.8","dPSI_iPSC_2186527_3X","X.9","dPSI_iPSC_2186866_3X","X.10","dPSI_iPSC_2186960_3X","X.11","dPSI_NGN2_2006152_3X","X.12","dPSI_NGN2_2139701_3X","X.13","dPSI_NGN2_2174714_3X","X.14","dPSI_NGN2_2174748_3X","X.15","dPSI_NGN2_2175420_3X","X.16","dPSI_NGN2_2184088_3X","X.17","dPSI_NGN2_2184090_3X","X.18","dPSI_NGN2_2184741_3X","X.19","dPSI_NGN2_2186527_3X","X.20","dPSI_NGN2_2186866_3X","X.21","dPSI_NGN2_2186960_3X"
"11","STRN3",0.381,"AHI1",0.4390697301935,"SKP1",0.487346178922834,"ZDHHC13",0.418,"HAPLN3",0.516,"LARP7",0.518,"LRRC42",0.404,"ASAP1",0.555,"ASAP1",0.384,"MADD",0.564,"ZFP82",0.381910224835279,"MELTF",0.513136820040606,"TNFRSF25",0.477,"LINC02210",0.669139871897853,"PDE7A",0.572,"ZC3H12B",0.575592010741731,"HTT",0.634017110282648,"PDXDC1",0.52132093259395,"CNGA3",0.71944348586713,"FSIP2",0.541,"KLHL1",0.556742788598272,"STRN3",0.584
"12","MATK",0.380226794615918,"DPH7",0.428580042553404,"NAV2",0.484,"ADARB1",0.407,"ADAMTS19",0.51172089413218,"SKP1",0.517314569360275,"DRG2",0.399,"TSPAN7",0.527,"LARP7",0.37,"LRRC42",0.559,"KDM6A",0.35,"PDXDC1",0.509894682513559,"PDXDC1",0.474464885528703,"WDR17",0.648,"WDR27",0.568610313953388,"KCNT2",0.571915455665974,"LARP7",0.601,"STRN3",0.521,"XRN2",0.713964005677568,"STRN3",0.538,"WDR17",0.555,"GAPVD1",0.54817712296374
"13","CLASP2",0.376657939715572,"ASAP1",0.428,"CLASP2",0.464521093807531,"SKP1",0.403351547328971,"LYRM1",0.51,"MADD",0.515,"VPS29",0.390295468571129,"SERGEF",0.520072228625636,"NAV2",0.369,"AC009022.1",0.558125988892819,"LRRC42",0.342,"WDR17",0.504,"BDH1",0.459,"PDE7A",0.646,"LINC02210",0.543601377365512,"LARS1",0.569,"LINC02210",0.592512886205755,"ABCB8",0.506209313584511,"ASCC3",0.647778753028949,"CLEC2D",0.531816893230773,"LARP7",0.55,"EVC",0.546165704013525
"14","EXOC6B",0.373625391163155,"ZNF490",0.427709327009511,"TPTEP2",0.448836666482126,"CLN3",0.4,"EXOC6B",0.506,"HTT",0.509831132345574,"CLASP2",0.381747899183689,"NAV2",0.502,"LRRC42",0.362,"LYRM1",0.557,"TAF2",0.34,"CKMT2-AS1",0.467006459041868,"KLHL1",0.45432247627419,"DHFR",0.645815325074288,"FSIP2",0.541,"TENT2",0.554931252800294,"WDR17",0.592,"CLASP2",0.50064185482018,"ARL15",0.62,"WDR17",0.519,"ABCB8",0.548,"HTT",0.545807662746345
"15","AKAP8L",0.373,"ULK2",0.411,"NACA",0.43,"POMT2",0.391,"GRAMD2B",0.500430788808621,"EXOC6B",0.503,"JMJD7-PLA2G4B",0.372,"GRAMD2B",0.500601830824019,"MGAT5",0.361594033676117,"C1RL-AS1",0.548,"MADD",0.338,"SENP6",0.461210397117836,"TXNL1",0.442807843081218,"LARP7",0.622,"DHFR",0.521993975745467,"GAPVD1",0.544576481095945,"WDR27",0.565173843732127,"ACADS",0.47540803886851,"WDR17",0.611,"SNTG1",0.490566208097687,"POMT2",0.538,"FSIP2",0.541
"16","PDE7A",0.367,"PXMP4",0.408195781207751,"KDM6A",0.424,"SYTL2",0.391,"SYTL2",0.49,"MYCBP2",0.499,"ZFP82",0.362057554376766,"MIER1",0.497561960751701,"SYTL2",0.356,"HTT",0.543681729911317,"LARP7",0.336,"ABCB8",0.453573895783474,"SYNE4",0.435,"LRRC42",0.616,"ABCB8",0.51765754827347,"FSIP2",0.541,"LRRC42",0.554,"FYN",0.473078688731049,"WDR27",0.604794283864442,"KLHL1",0.481964285217756,"LRRC42",0.512,"ASCC3",0.535177926711823
"17","MADD",0.358,"MYCBP2",0.402,"MYCBP2",0.412,"KDM6A",0.386,"HSD17B4",0.454131678152547,"ABCB8",0.494646657874468,"KDM6A",0.358,"TPTEP2",0.477508545422295,"POMT2",0.351570960525668,"ABCB8",0.536303956426213,"RSRC2",0.33,"TPM2",0.450874884883255,"POMT2",0.432,"ABCB8",0.607,"LRRC42",0.514,"SLC25A19",0.53770357557803,"PDE7A",0.551,"DHFR",0.464260951270001,"DLGAP4",0.604,"WDR27",0.481425248875651,"RBP4",0.49327354735655,"LARP7",0.533
"18","FOXM1",0.356355420587645,"MADD",0.4,"PDXDC2P",0.405527292034937,"SPIDR",0.384417662854431,"LRRC42",0.452,"LRRC42",0.491,"LARP7",0.358,"PPP1R26",0.470840874977439,"PIGA",0.346,"ZFP82",0.528590304966814,"NAV2",0.316,"SMC4",0.446414640874911,"PDE7A",0.427,"USP9Y",0.599801688863862,"POMT2",0.506,"HHLA3",0.522555091331655,"MELTF",0.549269516131794,"TNFRSF25",0.463,"NKAIN2",0.599798633890157,"LRRC42",0.475,"EVC",0.487863486235123,"POMT2",0.526
"19","LRRC42",0.355,"LRRC42",0.395,"AC009022.1",0.403534495150844,"KIAA1549L",0.361,"MADD",0.435,"KDM6A",0.482,"TAF2",0.355,"FOXM1",0.47,"PYCR1",0.333361261370695,"PHB2",0.520778126215096,"BOLA2-SMG1P6",0.312,"DENND1A",0.440749647727287,"CCDC102B",0.409724410878636,"EVC",0.59272844061221,"WDR17",0.505,"TM2D1",0.519528886999946,"EVC",0.544764800746434,"LARP7",0.46,"RAF1",0.597,"SYT3",0.473859113756967,"TNFRSF25",0.477,"LINC02210",0.523949059811014
"20","LARP7",0.351,"HTT",0.390239645839322,"TAF2",0.383,"FAM86B1",0.360992497970164,"ZNF730",0.425040367500196,"LINC02210",0.480501868192717,"POMT2",0.347,"ANKRD18CP",0.463513886232079,"MADD",0.316,"LINC02210",0.512934694551497,"AXIN1",0.29609619848702,"POMT2",0.439,"ASCC3",0.381293449710167,"KLHL1",0.58636712729337,"CACNA1C",0.494246542645194,"WDR27",0.507087164834984,"DHFR",0.539191980142415,"HAUS3",0.444673445720599,"RAPGEF1",0.592,"HTT",0.462234871763994,"HTT",0.467482744701866,"LRRC42",0.52
"21","NAV2",0.35,"VPS29",0.383050480590803,"TENT2",0.38248865476526,"ZFP82",0.333135360739628,"CLASP2",0.423185411865828,"TANGO2",0.475365408647556,"TSC1",0.339,"SNAPC5",0.462,"VPS29",0.309483900069934,"SKP1",0.502484012816618,"LINC02210",0.284047204002563,"TNFRSF25",0.439,"TAF2",0.38,"LRIG2",0.551150210970243,"EVC",0.482122608318618,"TTN-AS1",0.497,"FBF1",0.535115466841061,"POMT2",0.438,"SNAP23",0.59,"TNFRSF25",0.459,"FHOD3",0.465403478358908,"MELTF",0.513429355092851
"22","GRAMD2B",0.349256990331551,"EXOC6B",0.376257575889334,"CARD8",0.375,"NAV2",0.332,"STEAP2",0.417,"FGFR1",0.455,"LARS1",0.333,"FAM162A",0.44722062383581,"NKTR",0.308,"ADAMTS19",0.500592651361326,"GOLT1B",0.273101805174955,"HTT",0.438565198795793,"DENND1A",0.379841591774223,"FSIP2",0.541,"TNFRSF25",0.477,"GRHL1",0.492861503732008,"INO80E",0.525,"WDR27",0.434922759945776,"WDR91",0.579,"ASCC3",0.452320939305478,"PLCD1",0.44,"RAB36",0.498861670123217
"23","MYCBP2",0.341,"IGFLR1",0.356,"EGLN1",0.367,"VPS29",0.31767092350785,"SLC45A4",0.40721536513191,"C12orf4",0.452770564342576,"STRN3",0.333,"APLP2",0.442,"DRG2",0.304,"NAV2",0.5,"VPS29",0.265388473049968,"EVC",0.420791698018678,"LINC02210",0.369145604390344,"NSMF",0.524339269091706,"MELTF",0.472621465163721,"LINC01184",0.492348677485911,"ABCB8",0.524,"HTT",0.434867886100073,"SLC24A3",0.561289002562214,"ABCB8",0.444561503194778,"TTN-AS1",0.432,"PDE7A",0.498
"24","VPS29",0.321779294591479,"PYCR1",0.327695305103605,"VPS29",0.347238575768847,"INTS3",0.309,"C14orf132",0.404275224263761,"CLASP2",0.447384079611039,"PFDN5",0.323,"PDE7A",0.439,"ZFP82",0.273969686413383,"CLASP2",0.486989301296945,"SENP6",0.25012494340041,"LARP7",0.416,"LRRC42",0.369,"MELTF",0.516482882612873,"SNTG1",0.464835715904968,"ADAMTS10",0.487313919481113,"GRIA1",0.518402511932307,"GXYLT1",0.428190087879245,"APIP",0.555328802401923,"HAUS3",0.422264828707845,"HAUS3",0.431410604640487,"FHOD3",0.494970760783763
"25","CFAP410",0.313,"KIAA1549L",0.315,"SENP6",0.34232869042159,"BCHE",0.307,"FBN2",0.399584965604641,"ZFP82",0.419879671383535,"PIGA",0.31,"FBN2",0.436171983312972,NA,NA,"PRR15",0.462858845666777,NA,NA,"LINC01128",0.416,"ZFP82",0.368809918991916,"AXIN1",0.514,"LARP7",0.463,"PWWP2A",0.482140352917423,"CLASP2",0.511937808549755,"TTN-AS1",0.428,"LRRC42",0.555,"LARP7",0.419,"ZHX2",0.423050597515363,"DENND1A",0.486466887232788
"26","KIAA1549L",0.313,"GSDMD",0.307,"TMEM50B",0.334547231432702,"LETMD1",0.307,"VPS29",0.396848603437813,"ERGIC3",0.403632738606463,"PYCR1",0.303561404456185,"WDR90",0.433530221008903,NA,NA,"ZNF730",0.452948051916772,NA,NA,"ADAM17",0.403151206358041,"WDR90",0.368,"ZFP82",0.50929266652795,"USP9Y",0.45453881870801,"CDK12",0.481733855748791,"FHOD3",0.491716146673982,"TANGO2",0.423096234018141,"THSD7B",0.546169205791438,"AC007614.1",0.418,"CASTOR1",0.419835519607294,"MROH8",0.479917808826354
"27","KDM6A",0.309,"KDM6A",0.306,"STRN3",0.331,"IGFLR1",0.305,"PDE7A",0.392,"INTU",0.4,"SNHG17",0.302,"KDM6A",0.415313240919058,NA,NA,"EXOC6B",0.449,NA,NA,"NECAP2",0.4,"CACNA1C",0.357633491334814,"CLASP2",0.505722331742415,"KDM6A",0.454242834586916,"QKI",0.48,"RAF1",0.479,"AC138894.1",0.417,"APLP2",0.545,"ABCC8",0.404,"AC004997.1",0.418964834064251,"CLASP2",0.479549033801565
"28","SYTL2",0.304,"NAV2",0.304,"LINC00667",0.328,"STRN3",0.3,"LINC02210",0.390058054604758,"VPS29",0.397,"AXIN1",0.301967286346074,"TNRC6A",0.398243970736785,NA,NA,"FBN2",0.433377635120686,NA,NA,"FAM221A",0.399,"ADAM17",0.347233959750888,"FHOD3",0.499306347299446,"ZFP82",0.442487502525849,"ZNF28",0.479,"ZFP82",0.477263613244945,"ENAH",0.401370909065982,"KLHL1",0.54346942742674,"POMT2",0.402,"TRIM65",0.417,"CACNA1C",0.47824376540905
"29","ZFP82",0.300268487704534,"AXIN1",0.271325566002508,"EXOC6B",0.320006859751298,"SENP6",0.29389314372317,"BOLA2-SMG1P6",0.389,"SPIDR",0.382067068675477,"EXOC6B",0.3,"MADD",0.398,NA,NA,"EVC",0.426385471681067,NA,NA,"LINC02210",0.398914738365771,"RAF1",0.343,"HAUS3",0.492017380655832,"CLASP2",0.431816591478351,"WHAMM",0.47695276781168,"DLGAP4",0.477,"TRIM65",0.401,"TPTEP2",0.542,"SKP1",0.402,"ASCC3",0.40060288532201,"TNFRSF25",0.477
"30","LINC02210",0.296365418322937,"TAF2",0.269354882656434,"CLN3",0.317,"EXOC6B",0.291890184319595,"MAN1B1",0.380539306153123,"NUP58",0.371284793083398,"NAV2",0.28397777996942,"MFN2",0.397953562379976,NA,NA,"TAF2",0.408,NA,NA,"RAF1",0.397,"AXIN1",0.33904706756148,"CACNA1C",0.489743725872982,"TAF2",0.428,"TMSB15B-AS1",0.474,"ZNF23",0.471210395181306,"ADAM17",0.396481900515045,"FSIP2",0.541,"CCDC180",0.397,"PDE7A",0.4,"HAUS3",0.45131851172576
"31","ERGIC3",0.285784834112786,"ZFP82",0.267730845472732,"DPY19L3",0.314,"AXIN1",0.289277742569776,"CACNA2D1",0.379681117722057,"STRN3",0.369,"LYRM1",0.269089551343331,"CACNA1H",0.396436008390603,NA,NA,"AXIN1",0.407,NA,NA,"SYNE4",0.396,"TENT2",0.330502351963968,"TAF2",0.484,"FAM221A",0.424,"ANGEL1",0.473395719195248,"TOX4",0.463,"AP004608.1",0.387,"ABCB8",0.537733585578864,"SETX",0.392990601986444,"LINC02210",0.398474811318386,"HPCAL1",0.435
"32","DLGAP4",0.263998259994956,"SENP6",0.257567175433413,"ERGIC3",0.310813977833055,"LINC02210",0.287357712710629,"ZFP82",0.372653473608235,"ZNF730",0.362900336421131,NA,NA,"TAF2",0.393,NA,NA,"BECN1",0.406988202242992,NA,NA,"TSPAN4",0.39,"CREBZF",0.323,"RAF1",0.469,"AXIN1",0.412,"RPL22L1",0.47304438758089,"STXBP5L",0.45690582114197,"DENND1A",0.383883609116623,"SENP6",0.503,"ZFP82",0.373389703768346,"CCDC180",0.397,"TAF2",0.432
"33",NA,NA,NA,NA,"AXIN1",0.301563983076495,NA,NA,"LINC00662",0.37,"NOD1",0.362,NA,NA,"NAA40",0.392,NA,NA,"TIAM1",0.401571457158793,NA,NA,"GALC",0.388406340135738,"DLGAP4",0.317,"TNFRSF25",0.467,"SKP1",0.402,"DLGAP4",0.472,"FAM221A",0.454,"CLN3",0.383,"FAM162A",0.499012110230093,"PDE7A",0.369,"DLGAP4",0.393,"TMEM116",0.424
"34",NA,NA,NA,NA,"ENAH",0.293807257658809,NA,NA,"AC073111.4",0.364,"FAAP20",0.361025827725341,NA,NA,"CLASP2",0.380066325495353,NA,NA,"MAN1B1",0.399379329032193,NA,NA,"TAF2",0.387,"MAEA",0.313,"DENND1A",0.453567392903861,"ENAH",0.388873012027799,"UBE2Q2P1",0.471437010697503,"TAF2",0.45,"ZFP82",0.381576115175803,"MELTF",0.49724763183135,"CYB5A",0.362,"DHFR",0.392871345634654,"CLEC2D",0.423472654768186
"35",NA,NA,NA,NA,"NREP",0.291143712936767,NA,NA,"KDM6A",0.359,"TIAM1",0.353478842174682,NA,NA,"DENND5A",0.364,NA,NA,"DRG2",0.399,NA,NA,"MSL3",0.382,"SKP1",0.309,"RIPOR2",0.442,"TET1",0.385507230226266,"HAUS3",0.467275777815422,"PNISR",0.440118086028048,"SKP1",0.375,"AL031315.1",0.492164202347589,"STXBP5L",0.352763171899412,"LYRM1",0.382,"ABCB8",0.422
"36",NA,NA,NA,NA,"NUP58",0.256161855122136,NA,NA,"SENP6",0.358627456617288,"TAF2",0.351,NA,NA,"GGCT",0.360339098504149,NA,NA,"NUP58",0.394544427904248,NA,NA,"DLGAP4",0.371,"NDRG4",0.306,"HTT",0.43763707362611,"SETX",0.382215261853218,"TRIM69",0.465,"ZDHHC11",0.425381979436156,"ASCC3",0.372095810914585,"PDE7A",0.484,"DENND1A",0.346918409000038,"CLASP2",0.381891940166394,"TRIM65",0.417
"37",NA,NA,NA,NA,NA,NA,NA,NA,"ERGIC3",0.358,"NAV2",0.348,NA,NA,"ZFP82",0.358127324287143,NA,NA,"SENP6",0.38992851456291,NA,NA,"MAPK10",0.371,"ENAH",0.285696412108722,"MAST4",0.433512737166454,"RAF1",0.376,"ZNF730",0.463592230974468,"STRN",0.417545443380942,"WDR90",0.368,"GLRA3",0.480157613737024,"ADAM17",0.335671693111532,"FSIP2",0.376,"SETX",0.409166485124672
"38",NA,NA,NA,NA,NA,NA,NA,NA,"IFT27",0.351,"GXYLT1",0.34664078751994,NA,NA,"STRN3",0.348,NA,NA,"WDR27",0.389222947537017,NA,NA,"WDR90",0.368,"SREK1",0.279991531822693,"ENAH",0.431853349590365,"STRN3",0.374,"FHOD3",0.463022934010722,"GLRA3",0.415488747801209,"RAF1",0.366,"TAF2",0.479086362582598,"CLN3",0.333,"SKP1",0.371,"SKP1",0.408
"39",NA,NA,NA,NA,NA,NA,NA,NA,"TAF2",0.349,"SENP6",0.320083950486905,NA,NA,"NKTR",0.342,NA,NA,"VPS29",0.388,NA,NA,"VDAC3",0.364051811327148,"NUP58",0.27032018537244,"SETX",0.428310503596822,"TENT2",0.365813724532755,"GRAMD1B",0.460791893124123,"EXOC6B",0.415,"KDM6A",0.357635701354207,"TSPAN4",0.462,"AXIN1",0.331765386732526,"TRIM27",0.369,"ZFP82",0.406206439565724
"40",NA,NA,NA,NA,NA,NA,NA,NA,"SNAPC5",0.34,"PNISR",0.315623815681124,NA,NA,"TENT2",0.339706228959195,NA,NA,"RCC1",0.37403260532952,NA,NA,"SKP1",0.361,"SEMA3A",0.265956345048861,"MLLT10",0.422384296301303,"HTT",0.363833696155056,"POMT2",0.458,"SKP1",0.413,"TSPAN4",0.344,"TNFRSF25",0.455,"DLGAP4",0.329,"LRIG2",0.368291163308041,"AXIN1",0.394
"41",NA,NA,NA,NA,NA,NA,NA,NA,"PFDN5",0.336,"AXIN1",0.311288231271635,NA,NA,"STRN",0.326488082147631,NA,NA,"ERGIC3",0.369,NA,NA,"STRN3",0.357,NA,NA,"DLGAP4",0.42,"CLN3",0.354,"NME4",0.457050596501911,"AC138894.1",0.404,"DLGAP4",0.343,"CACNA1H",0.454,"FHOD3",0.326975070172953,"TAF2",0.366,"DLGAP4",0.392
"42",NA,NA,NA,NA,NA,NA,NA,NA,"RAF1",0.326530883186769,"INTS3",0.309,NA,NA,"SAR1A",0.320162763229684,NA,NA,"TMEM50B",0.36397358676169,NA,NA,"LRRC42",0.354,NA,NA,"AC138894.1",0.418,"INO80E",0.351,"RAF1",0.452,"C14orf132",0.398950294429932,"FAM221A",0.337,"KDM6A",0.450828172177182,"SCLY",0.325,"TSPAN4",0.356,"RAF1",0.391
"43",NA,NA,NA,NA,NA,NA,NA,NA,"NAV2",0.32624794640492,"DLGAP4",0.307137361435869,NA,NA,"SLC25A17",0.318,NA,NA,"MYCBP2",0.352,NA,NA,"SETX",0.350407034415646,NA,NA,"GCFC2",0.405240130484412,"DENND1A",0.34788080791909,"RECK",0.448200926699776,"ADAM17",0.394296952212272,"AXIN1",0.336,"MIR100HG",0.45,"RAF1",0.317,"MIR4435-2HG",0.355,"CLN3",0.388
"44",NA,NA,NA,NA,NA,NA,NA,NA,"SNHG5",0.32,"SYNE4",0.304,NA,NA,"LRRC42",0.317,NA,NA,"FAAP20",0.349,NA,NA,"QKI",0.347,NA,NA,"CDC37L1",0.402421171007361,"SREK1",0.33810828095916,"VPS13B",0.446921433543413,"KDM6A",0.394,"STXBP5L",0.327575575904596,"TTN-AS1",0.448,"TDP1",0.314,"SETX",0.353109006557811,"DHFR",0.368251446677182
"45",NA,NA,NA,NA,NA,NA,NA,NA,"TNRC6A",0.319247208098609,"CHD9",0.294156320520002,NA,NA,"MYCBP2",0.316,NA,NA,"DLGAP4",0.34763013902808,NA,NA,"NRXN3",0.33,NA,NA,"TENT2",0.402308915091241,"HDAC10",0.338,"ZNF691",0.446527384439203,"ENAH",0.384562415321052,"SYNE4",0.318,"LARP7",0.438,"LRIG2",0.309567038817021,"ATR",0.352,"USP9Y",0.366165447719266
"46",NA,NA,NA,NA,NA,NA,NA,NA,"FAAP20",0.317,"MAN1B1",0.26262666987694,NA,NA,"VPS29",0.312235430677332,NA,NA,"STRN3",0.342,NA,NA,"ASGR1",0.325,NA,NA,"TRIM65",0.398,"DLGAP4",0.327,"ABCB8",0.446,"FSIP2",0.382,"BECN1",0.314,"EVC",0.43631483411871,"CTXN2",0.304,"SPART",0.349502925302352,"KDM6A",0.354
"47",NA,NA,NA,NA,NA,NA,NA,NA,"NUP58",0.308744425413408,"SNHG17",0.254997075743291,NA,NA,"PPIL2",0.2985150259385,NA,NA,"NEDD1",0.305,NA,NA,"AC138894.1",0.319,NA,NA,"TAF1",0.396642973289893,"RSRC2",0.326,"PRH1",0.445491429257312,"SETX",0.381426975447855,"USP9Y",0.308175671578983,"CLASP2",0.434150677335857,"TAF2",0.303,"FAM221A",0.346,"ENAH",0.350338505653828
"48",NA,NA,NA,NA,NA,NA,NA,NA,"KIAA1549L",0.305,NA,NA,NA,NA,"GCFC2",0.280791925939657,NA,NA,"CACNA2D1",0.304762177606872,NA,NA,"METTL6",0.318245827600568,NA,NA,"TTN-AS1",0.395,"CYB5A",0.325,"PDXDC1",0.44536389440244,"NUP58",0.379569792779768,"MADD",0.305,"TENT2",0.432211692265065,"TENT2",0.293211037458083,"ZFP82",0.344450520743289,"HPS5",0.342
