"","dPSI_iPSC.6866.10x"
"HS3ST5",0.437114120315552
"XRN2",0.433957716319187
"ASCC3",0.433157765763112
"SH3YL1",0.43
"APLP2",0.429
"TBC1D25",0.427892291451791
"HACL1",0.422373574432752
"ANKHD1-EIF4EBP3",0.421004156605436
"OGT",0.419
"AC008581.2",0.417896016769927
"PTPRG-AS1",0.41720009828229
"AGGF1",0.416410940797877
"MZT2B",0.415263450982149
"OCLN",0.414822133500011
"ADGRL1",0.412613417646136
"SMYD2",0.412
"ZMIZ2",0.404
"OCLNP1",0.399784137937867
"KIF21A",0.399434224880496
"JAKMIP2-AS1",0.399017552143225
"MATK",0.395734474260625
"ELMO2",0.393485002403969
"CLN3",0.391
"CEP162",0.390962511948761
"SYTL2",0.39
"CLK4",0.389
"MFN2",0.388362842854153
"HMGA2",0.387871308738214
"STK19",0.384
"AC020915.3",0.382545948213116
"ANKRD18CP",0.381858833414527
"UBN1",0.381637951035377
"ARMCX6",0.381
"ARHGAP1",0.3808558828009
"STRN3",0.379
"UBAC2",0.376107849409233
"SSBP1",0.375562046205794
"WDR27",0.375
"DENND5A",0.372202719071403
"EXOSC8",0.36
"STRN",0.358773095146804
"ZNF43",0.356209216033169
"AC138894.1",0.352
"FAM174A",0.348032431020614
"PPIA",0.348
"SHMT2",0.348
"UVRAG",0.347549458999841
"FAM162A",0.345
"SREK1",0.340790031868441
"ZNF519",0.34
"PFDN5",0.336
"SERGEF",0.333026505089373
"ADCY5",0.333
"RBBP8",0.333
"AGER",0.330836304924368
"TJP2",0.329646241239443
"NUDT6",0.32410272742663
"THOP1",0.324
"ZNF268",0.324
"SLC25A17",0.322
"RAB23",0.321815002072931
"EP400P1",0.32
"RSRP1",0.318
"PYCR1",0.315234927848133
"GGCT",0.314
"GOLT1B",0.314
"SGCE",0.314
"RERE",0.309032878074148
"CAPRIN2",0.309
"HMGN1",0.308
"TARBP1",0.306
"MFSD14C",0.305
"ANK3",0.302762437152797
"SCLY",0.301
"ZDHHC11",0.301
"CMSS1",0.293394765556119
"MRPL45",0.293076926328064
"ERRFI1",0.292617141579038
"RCC1",0.289702422631892
"HIF3A",0.287426189531333
"TAZ",0.28718043615218
"ADAM23",0.286855221492736
"APBB2",0.284526518552666
"ADGRV1",0.281894898608897
"TACC1",0.281416244815571
"SOCS6",0.279741521724543
"FAM13B",0.266027629414488
"SF3B3",0.264413305492644
"RIPOR2",0.263451153631547
"ELP5",0.261726125686327
"IVD",0.261425433132238
"CARD19",0.258507539575114
"NPFFR2",0.258238635775721
"SYT14",0.25650221201914
"FAM157A",0.255218310696734
"TET1",0.253205090130708
"AVL9",0.251361451701724
"APIP",0.250438605709289
