"","dPSI_NGN2.4714.10x"
"LYRM4",0.482216471244912
"SLC7A6",0.482
"L3MBTL2",0.47874654591268
"GAPVD1",0.475905721244037
"NUP58",0.475
"TSPAN7",0.472436158200777
"RAPGEF1",0.472
"C14orf132",0.471
"ABCC8",0.469928603534341
"NLN",0.468261667488694
"ADGRL1",0.467825071542037
"ZMIZ2",0.462
"BLMH",0.461448820616552
"CSMD1",0.460905908102066
"WDR27",0.46
"ELP4",0.458
"STRN4",0.457
"ZDHHC17",0.45671939133868
"VSTM2L",0.455884892360145
"AC022433.1",0.454929881189475
"TMEM50B",0.453
"GRIA1",0.451723539193529
"PDXDC1",0.451
"ANKS3",0.443948719249712
"FAM162A",0.443887996487411
"SLC25A17",0.443
"TNFRSF25",0.443
"RAB2B",0.441602590910745
"RARS1",0.432498620752191
"PRKACB",0.430817832832947
"ASNS",0.427190839082388
"CASTOR1",0.426574199323179
"LINC02210",0.426
"GPHN",0.424341162269951
"AP2M1",0.424192641312581
"FAAP20",0.422
"APIP",0.421624073768943
"CYTH2",0.421
"DDX42",0.419304571499562
"SH3YL1",0.419
"PTPRT",0.417921256578468
"MAST4",0.417014253050185
"DENND4A",0.415406824034582
"STRN",0.413076833480979
"CLN3",0.413
"SERGEF",0.412
"CDH18",0.411461393614063
"CDCA4",0.40792830993436
"GABRB2",0.406989144800138
"NSUN4",0.406661640373962
"SSBP1",0.406134407288667
"HMCN2",0.405658425322747
"STOX2",0.404328550541298
"RCOR3",0.403412792506162
"THSD7B",0.403057972120193
"SPRYD7",0.400109910893721
"DPH1",0.396211680343594
"ADAM17",0.396
"WNK3",0.394053131250123
"MYCBP2",0.394
"ZBTB41",0.391197573359925
"TAF1",0.390164529069926
"TRIM65",0.390086300367105
"SUPT20H",0.388017302808448
"FNIP2",0.387242151487939
"SPIDR",0.38250046534594
"ARHGAP5",0.379396998183
"CACNA1H",0.379
"RAP1A",0.376
"CHD9",0.375
"LMAN2L",0.374251871453619
"CHROMR",0.371
"WDR90",0.368
"MAN1B1",0.366720795717925
"TET1",0.366715261858185
"TPTEP2",0.365
"MMS19",0.364936095735902
"MSL3",0.364
"ZNF655",0.361
"MYT1L",0.358710288780121
"FAM174A",0.354
"SLC41A3",0.352727528607075
"RAD21",0.352404109760155
"MADD",0.349
"SGK1",0.348807931775557
"BTBD10",0.347632313479486
"CSTF3",0.347346665816463
"KDSR",0.346076211294593
"CACNB4",0.346
"AXIN1",0.345
"PMS1",0.345
"DNAJC27",0.343052295296351
"CEP170",0.337
"MAP6",0.335380532828646
"CCHCR1",0.333
"MRPL39",0.332355485396417
"STRN3",0.332
"ELMO2",0.331
"PPHLN1",0.330850343566351
"EIF2D",0.329
"FBXL16",0.324748844992612
"FSIP2",0.323
"YPEL5",0.322
"TARBP1",0.319
"DOCK7",0.317
"AKAP9",0.314681660165503
"MRPL16",0.314645270608209
"LINC00963",0.313
"SMC5",0.31148856192566
"TP53INP1",0.309
"DOCK3",0.305340558183148
"IFT57",0.304870423287104
"ARMCX6",0.302
"PCDH9",0.301628083600621
"WDR91",0.300950463863686
"ANKRD13C",0.300281000187465
"MYO5A",0.288222246792965
"ASCC3",0.288184948983119
"RCC1",0.282549535950117
"LUC7L3",0.278481704270626
"CNOT1",0.269825955757748
"JARID2",0.269631675718214
"WDFY3-AS2",0.269509746851368
"FBL",0.268101555490409
"CMSS1",0.265079683821684
"MAN1A2",0.262299513887669
"GDPGP1",0.257620109893458
"CNTN1",0.253704199957468
"NELFA",0.250252374868479
