"","dPSI_NGN2.4741.10x"
"GPHN",0.471637522630596
"GABRB2",0.470249969783079
"PPHLN1",0.47
"FGD4",0.469
"PRPF31",0.46846566567418
"TRPM3",0.467821262209076
"FNIP2",0.467332718332793
"GALC",0.466
"TMEM214",0.463587266152901
"ZNF169",0.463333756469054
"RFX6",0.462921382763461
"CDCA4",0.459074283766872
"COPS5",0.454703078180766
"GXYLT1",0.453746655545993
"TNFRSF25",0.451
"ULK1",0.45071417647762
"TOE1",0.449688431370577
"SPPL2B",0.445195310361023
"HPS5",0.442976896025008
"ZFYVE26",0.44279855703815
"PNISR",0.438624957631894
"STRN4",0.438103855392698
"RASGRP2",0.4371492787382
"OSBPL5",0.436212984751303
"CMSS1",0.434699948179317
"STXBP5L",0.434469284548275
"LUC7L3",0.433564232841807
"SKOR2",0.43222696500801
"SERGEF",0.432
"PRKG1",0.431863446112444
"AC093525.2",0.427023363688258
"PRKDC",0.425338093899997
"SGPL1",0.424017618054469
"VPS29",0.419351388012472
"BICRA",0.419199921892179
"CHD9",0.418386074286475
"MED13L",0.418175608778349
"WNK1",0.415325853413636
"C14orf132",0.414
"PRUNE2",0.414
"ZMIZ2",0.414
"TNRC6A",0.413098589642645
"SRGAP1",0.412128743865865
"GNAQ",0.411502854667375
"COP1",0.409751371585042
"APPL2",0.408644119739466
"ZNF618",0.408
"CACNB4",0.404905952026708
"NELFA",0.399534519424179
"CLN3",0.398
"SSR1",0.396223818971143
"IFT57",0.396021384601174
"KCNC4",0.396
"GAPVD1",0.395287370374252
"CPLX2",0.392185571870006
"MAPK10",0.392
"ADGRL1",0.391732701066962
"EXTL2",0.390084185537286
"FAAP20",0.388
"MSL3",0.387
"DLG5",0.386488542947711
"C19orf47",0.386429759332682
"GARNL3",0.385583743742878
"AC007614.1",0.385
"LARS2",0.385
"RARS2",0.38348964009635
"MAP6",0.381378467992301
"PIK3CD",0.378592310447381
"ERVK13-1",0.378
"STAT1",0.377
"SPRYD7",0.376139602588917
"OTUD7A",0.376055409770182
"GRIA1",0.37557612839117
"WDR37",0.375
"LMO7",0.373837696461132
"DCUN1D4",0.371064542920887
"PTPRT",0.370504246082
"RUNDC3B",0.369
"FAM161A",0.3689128150918
"EIF2D",0.368
"KLHL1",0.367602241733544
"TRAF3",0.363369850570805
"TET1",0.362288889510098
"TSPAN2",0.362230915268714
"SPATS2",0.359331614598638
"DOCK3",0.358710808016869
"PPIP5K2",0.357872760984823
"TARBP1",0.356
"PRPF39",0.35355727660287
"MTERF3",0.352103665927756
"LINGO2",0.352070763649683
"ADAM17",0.352
"FSIP2",0.352
"PMS1",0.35
"NT5C2",0.349328960507427
"FAM174A",0.349313672707672
"MYCBP2",0.349
"DENND5A",0.348
"NUP58",0.347501980430868
"DDX3Y",0.346854445162283
"NEK9",0.346484117943152
"RAP1A",0.342
"WNK3",0.341210629914494
"VSTM2L",0.33992437057609
"DCAF17",0.338
"BLMH",0.337652428000852
"ASNS",0.337096952395033
"RARS1",0.337085011037381
"OBSL1",0.336
"MADD",0.335
"HDAC8",0.327
"ZNF767P",0.326
"STRN3",0.325
"CYB561D1",0.324
"LYRM1",0.324
"TMEM50B",0.324
"FAIM",0.323659880434657
"AP004608.1",0.322
"SNHG16",0.315
"AGK",0.313357948673848
"WDR90",0.312
"AGPS",0.311778772525255
"ERRFI1",0.311160287743806
"BBS9",0.307
"SORCS3",0.305984733745022
"TP53INP1",0.305
"ARHGEF40",0.303
"YPEL5",0.301
"AKAP9",0.296756038961196
"TMEM18",0.285667901408379
"RERE",0.283148196957689
"CTNS",0.282807526631539
"IGSF3",0.281942880453431
"MACROD2",0.281599088831058
"CERS5",0.280198439964341
"RBCK1",0.279828782831768
"PIK3R1",0.279449463197711
"ABHD10",0.276540598506821
"GLRB",0.275921835052639
"ZBTB41",0.274501739371711
"SF3B3",0.274478949563185
"CSTF3",0.271957247750616
"DGKB",0.266737829238249
"VPS13A",0.264336613210067
"SKP1",0.263839875996795
"TTC7B",0.259049065760287
"BECN1",0.257263850463606
"WDFY3-AS2",0.256479093460378
"RCC1",0.255677656499392
"SMC5",0.255534086821534
"PRDX4",0.255413229749374
"FUCA1",0.252476835689983
"CNOT1",0.251688030953671
"NLN",0.251155292782368
"ATP8A2",0.250455064814004
"CEP41",0.250311049524131
