"Gene.Name","Index1_iPSC-1755497-3x_log2FoldChange","Index1_padj","Index2_iPSC-1949634-3x_log2FoldChange","Index2_padj","Index3_iPSC-2006152-3x_log2FoldChange","Index3_padj","Index4_iPSC-2059811-3x_log2FoldChange","Index4_padj","Index5_iPSC-2060573-3x_log2FoldChange","Index5_padj","Index6_iPSC-2060884-3x_log2FoldChange","Index6_padj","Index7_iPSC-2070692-3x_log2FoldChange","Index7_padj","Index8_iPSC-2135644-3x_log2FoldChange","Index8_padj","Index9_iPSC-2136770-3x_log2FoldChange","Index9_padj"
"AC012213.1",NA,NA,-1.49569117658593,0.00682468368974383,NA,NA,NA,NA,NA,NA,-2.12795186439304,0.00120334314869337,NA,NA,NA,NA,NA,NA
"AC012313.2",NA,NA,-0.958281521289752,0.0265121758626615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012313.4",NA,NA,-1.63341224355034,0.0128509124587473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012459.1",NA,NA,-0.640986188667781,0.0433505071329802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012676.1",NA,NA,-1.70117521380467,3.77997639041599e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC015712.2",NA,NA,-2.29431133797201,0.00805691787734051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC015813.1",NA,NA,-1.4432577324585,0.00483792103833632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC015849.5",NA,NA,-1.14166741777099,1.95779442625609e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC015909.1",NA,NA,-1.73074686634465,0.00141022776092362,NA,NA,NA,NA,NA,NA,-2.18368891545671,0.000169231409013618,NA,NA,NA,NA,NA,NA
"AC016705.2",NA,NA,-0.679555385021721,0.000461954933859255,NA,NA,NA,NA,NA,NA,-1.02021023189093,5.7516393052044e-07,NA,NA,NA,NA,NA,NA
"AC018362.3",NA,NA,-3.76922664014622,0.0279685934603756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC018628.2",NA,NA,-1.82271853413967,0.000291762925703393,NA,NA,NA,NA,NA,NA,-1.49720704278509,0.00417017899408687,NA,NA,NA,NA,NA,NA
"AC018755.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64890625026215,0.048032061469878,NA,NA,NA,NA,NA,NA
"AC019080.1",NA,NA,-1.77307606372484,3.03987665435301e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC020907.1",NA,NA,-2.70095979771568,2.99386080116914e-07,NA,NA,NA,NA,NA,NA,-1.48586418988012,0.00174646980633295,NA,NA,NA,NA,NA,NA
"AC020915.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.611426799801375,0.00199381570860133,NA,NA,NA,NA,NA,NA
"AC020928.1",NA,NA,-0.966508026087612,3.63868428068539e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC020934.1",NA,NA,-1.55830299594868,0.00911746842840496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC020978.5",NA,NA,-1.56677325168366,8.68973875960173e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC021087.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02195303165162,0.0133886009234692,NA,NA,NA,NA,NA,NA
"AC021092.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.826555601175105,1.90855633028752e-06,NA,NA,NA,NA,NA,NA
"AC021504.1",NA,NA,-1.2343996069029,0.000793659218103466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC022140.1",NA,NA,-0.853042611380051,1.23320049924122e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC022400.9",NA,NA,NA,NA,NA,NA,NA,NA,-0.96458927711224,0.017044011329062,-1.07061115476908,0.00247649368876674,NA,NA,NA,NA,NA,NA
"AC022424.1",NA,NA,-2.22881169747972,9.00558955334467e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC023158.1",NA,NA,-1.24863880875818,0.013431706697412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC023509.3",NA,NA,-0.813321693231792,0.0279606670727021,NA,NA,NA,NA,NA,NA,-0.853146787631982,0.030626426602836,-1.05736084010455,0.0225367144350963,NA,NA,NA,NA
"AC024610.2",NA,NA,-1.14844531243685,0.000252952978136382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC025774.1",NA,NA,-2.16883816487046,0.00203320460014311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026304.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.722208409568522,0.0372829220410831,NA,NA,NA,NA,NA,NA
"AC026356.1",NA,NA,-1.91434977505117,0.00012304675567053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026358.1",NA,NA,-2.08501857818892,0.0387304734887172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026689.1",NA,NA,-0.749396575309174,0.032219704960089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027031.2",NA,NA,-0.969168198434416,1.30056944248005e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027288.1",NA,NA,-2.20466814010546,8.45864544073667e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027307.2",NA,NA,-1.20812634611053,0.0129126278522299,NA,NA,NA,NA,NA,NA,-1.67081751610239,0.00121624244010782,NA,NA,NA,NA,NA,NA
"AC027644.3",NA,NA,NA,NA,NA,NA,NA,NA,-0.761162151241448,0.00316510671621627,-0.597592448532102,0.0115586930695189,-0.790327739519528,0.00244307580777208,NA,NA,NA,NA
"AC034236.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.783111143805791,0.0385562774746801,NA,NA,NA,NA,NA,NA
"AC048341.1",NA,NA,-0.973017516805955,1.66589154359e-06,NA,NA,NA,NA,-0.640576891377798,0.00856691782283871,-1.30369976715462,5.95433024453051e-10,NA,NA,NA,NA,NA,NA
"AC048344.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.849615216902408,0.0320508208371943,NA,NA,NA,NA,NA,NA
"AC061992.2",NA,NA,-1.00337825112848,0.0164390269181709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC064802.1",NA,NA,-1.72784297006034,2.75356664595929e-07,NA,NA,NA,NA,NA,NA,-0.999496629087519,0.00614740173097531,NA,NA,NA,NA,NA,NA
"AC064836.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08145999558812,0.000167790685543057,NA,NA,NA,NA,NA,NA
"AC067968.1",NA,NA,-1.69966601772262,0.0048322544520772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC068733.3",NA,NA,-1.19470206630637,0.0125247132739013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC069499.2",NA,NA,-1.89760508892805,5.2697197829492e-05,NA,NA,NA,NA,-1.33903496912031,0.014705878676067,-1.70943418690651,0.000392818041245488,NA,NA,NA,NA,NA,NA
"AC072026.2",NA,NA,-0.812860491087764,0.00301034262375111,NA,NA,NA,NA,NA,NA,-0.656178792190321,0.0244046766461588,NA,NA,NA,NA,NA,NA
"AC073210.3",NA,NA,-1.67765966416718,5.5619099811066e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC074135.1",NA,NA,-0.757349498625349,1.55749937391777e-07,NA,NA,NA,NA,-0.631301805342813,0.000103519323632309,-0.83230699326375,1.45384088716291e-08,NA,NA,NA,NA,NA,NA
"AC074387.1",NA,NA,-0.717249140118685,0.0406900562662345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC078785.1",NA,NA,-1.42935741617759,0.00273653235848506,NA,NA,NA,NA,NA,NA,NA,NA,-1.22503425562024,0.0355644621893171,NA,NA,NA,NA
"AC079140.3",NA,NA,-0.710679802324903,0.00140358788711885,NA,NA,NA,NA,-0.637509356627874,0.0174183786009351,NA,NA,NA,NA,NA,NA,NA,NA
"AC079140.5",NA,NA,-0.91119655525453,0.0257291127014978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079385.3",NA,NA,-2.40155537900207,0.00472972071818099,NA,NA,NA,NA,NA,NA,-2.03470050259605,0.0150351147648458,NA,NA,NA,NA,NA,NA
"AC079781.5",NA,NA,-1.32222598400745,3.9559071324631e-09,NA,NA,NA,NA,NA,NA,-0.590433455893272,0.0177736266556853,NA,NA,NA,NA,NA,NA
"AC083964.1",NA,NA,-0.839632583895191,0.000102468076583085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC087203.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.51747377968251,0.00183157254781377,NA,NA
"AC087633.1",NA,NA,-0.719732115864159,0.0385437501888624,NA,NA,NA,NA,NA,NA,-0.905883211458826,0.0136421975043444,NA,NA,NA,NA,NA,NA
"AC090061.1",NA,NA,-1.50641922700957,0.00047483792419179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090164.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05414660878802,0.0406796654498266,NA,NA,NA,NA,NA,NA
"AC090398.2",NA,NA,-1.02877412905805,0.0238703923376706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090616.2",NA,NA,-0.890817931376242,9.66034016128312e-05,NA,NA,NA,NA,-0.68381241903287,0.0122418149672923,-1.35509236748673,1.98328916944829e-08,-0.678449652469392,0.0161273734126705,NA,NA,NA,NA
"AC091729.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01639633535905,1.22125721630166e-12,NA,NA,NA,NA,NA,NA
"AC091820.1",NA,NA,-2.16847936811069,0.000258034176079918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC091820.2",NA,NA,-3.10664356912579,1.0768432101978e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC091978.1",NA,NA,-0.917226500366565,0.00725455198004976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092111.1",NA,NA,-1.52215809732345,0.00120522507003609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092111.2",NA,NA,-3.49934819611443,0.0330394112901606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092117.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92390440233425,1.69293296661336e-05,NA,NA,NA,NA,NA,NA
"AC092279.1",NA,NA,-0.614468571892688,6.39864738806135e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092490.1",NA,NA,-0.743401624748087,0.000263921901854287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092645.1",NA,NA,-2.76301207666715,0.00271698871417578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092902.4",NA,NA,-1.76814601771406,0.0151205128340112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093627.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02306898688032,1.15620702341876e-22,NA,NA,NA,NA,NA,NA
"AC097520.1",NA,NA,-1.79851125144056,8.38677319422095e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC098484.4",NA,NA,-0.920302728881347,0.0156151024835365,NA,NA,NA,NA,NA,NA,-1.24246380399683,0.00225962893718908,NA,NA,NA,NA,NA,NA
"AC098934.1",NA,NA,-0.683547794959439,1.36201810066615e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC099548.2",NA,NA,-4.02915297432188,0.00701777512088178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC099850.2",NA,NA,-0.807930343751904,0.020192163817738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
