"","dPSI_iPSC_1949634.10uM"
"BECN1",0.576643778341184
"URI1",0.57570913432149
"BORCS8-MEF2B",0.575243992269026
"KHDRBS2",0.575118348875271
"GCC2",0.575
"PXMP2",0.575
"ECSIT",0.574368624708595
"PLCH1",0.574342112817582
"PRKAB2",0.574
"BX470111.1",0.573943222858849
"LRP8",0.573
"TMTC1",0.573
"ZNF215",0.573
"EP400",0.572
"CRTC2",0.571030584079993
"TARBP1",0.571
"ATP6V1B2",0.57091057267967
"TBL1Y",0.570289869541876
"AC138932.1",0.569922084901801
"C1orf112",0.569863816547754
"DZIP1",0.569
"PPIP5K2",0.568
"CEP41",0.567350857029196
"NPIPB14P",0.566961719556301
"HACL1",0.565962048093002
"NEMF",0.565
"PIK3R2",0.56442149668798
"ADCY5",0.564
"RNF14",0.564
"ZMIZ1",0.564
"KIDINS220",0.562372651435666
"SIPA1L1",0.562081422516414
"LCTL",0.562055561297375
"AC114490.2",0.562
"ANKRD9",0.562
"ETNK1",0.562
"HMGXB3",0.562
"R3HDM2",0.562
"EEF1A1",0.561470461088823
"AC007192.1",0.56108073805213
"ARHGAP44",0.561
"RPGR",0.561
"MYO5A",0.56
"DHX57",0.559
"GRIP1",0.559
"BICD1",0.558064623319817
"DLG4",0.557
"EPB41L2",0.557
"EXOSC9",0.557
"ZNF783",0.556772216723834
"SS18",0.556
"ELMO2",0.555
"UBN1",0.555
"INTU",0.554
"L1CAM",0.554
"CLASP2",0.553724695472754
"RAB30-DT",0.553233350768369
"UGGT2",0.552470900289561
"ADAMTS19",0.552
"BAZ1A",0.552
"MDM4",0.552
"PLSCR1",0.552
"PGAP6",0.551794069283722
"NEK9",0.551598379346618
"GOLGA4",0.550659694229708
"GALNT8",0.550377353191684
"PRKCI",0.55
"PPP1R18",0.549736748974594
"UHRF1BP1",0.549
"KIAA0100",0.548
"NPEPPS",0.548
"RBM39",0.548
"DPAGT1",0.547
"EPN1",0.546888818500515
"RGS3",0.545273110833656
"TOE1",0.545
"ZNF598",0.544814601939726
"KLHL36",0.543344114094147
"TDRD3",0.543293832977789
"BLZF1",0.543
"EIF4G3",0.543
"NSD2",0.543
"TFDP1",0.543
"SLC12A7",0.542072240271263
"AP2A2",0.542
"POM121",0.541
"WAC",0.541
"CARMIL1",0.540673757443156
"NF1",0.540304438164959
"SSH1",0.54
"WASHC5",0.54
"RBM18",0.539844830318589
"RFX1",0.539
"UNK",0.538754469010771
"TNRC6C",0.538
"CDK5RAP2",0.537
"MGA",0.537
"SLC29A3",0.537
"CD27-AS1",0.536634319172491
"URGCP",0.536566508603751
"ERBIN",0.536
"MGAT5B",0.536
"SLC9A5",0.535478783786497
"COQ6",0.533
"FAM207A",0.533
"USP30",0.532
"COL9A1",0.531453452878417
"ARMCX6",0.531
"TASOR2",0.531
"ZC3H14",0.531
"FGFR2",0.530939112792255
"BRD8",0.53
"SLC44A2",0.53
"PIK3CB",0.529900037112331
"VIRMA",0.529182692685442
"AMT",0.529
"CHD1L",0.529
"RAB3IP",0.529
"RARS2",0.529
"UIMC1",0.528
"NLN",0.527178254692921
"TRIM27",0.527
"LRRN1",0.526250999648854
"CDK14",0.526023257286376
"MRTFA",0.526
"CMTM8",0.525972181936354
"DOP1A",0.525
"SLK",0.524354781631961
"ASPM",0.524
"C19orf44",0.524
"DCUN1D4",0.524
"MARK3",0.524
"RBM4B",0.524
"DDB2",0.523
"TRIT1",0.523
"ZNF212",0.522702870449393
"RIPOR2",0.522541762510456
"EIF4A1",0.522
"SPHK2",0.522
"PCBD2",0.521896218720005
"DYRK1A",0.521
"MB21D2",0.520541633009049
"OXA1L",0.52
"UBN2",0.52
"LRRC6",0.5198042643469
"AC046185.1",0.519520030367668
"MSTO1",0.518248396299688
"CBARP",0.518239149372315
"SH3YL1",0.518
"FBXO10",0.517626423794702
"U2AF1L5",0.517267295877732
"AC131160.1",0.517025804523988
"SLC25A17",0.517
"JAZF1",0.51678532587539
"UBAP2L",0.516388649790491
"NUDT6",0.516312645151451
"CLEC16A",0.516
"ZMIZ2",0.516
"CYTOR",0.5154372482012
"CASK",0.515
"GGA1",0.515
"MDM2",0.515
"SAR1A",0.515
"ARHGEF5",0.514738076068242
"ZNF548",0.514484797131847
"LETMD1",0.513
"SELENBP1",0.513
"EFHC1",0.512
"FNIP2",0.512
"TTC8",0.512
"YTHDF2",0.512
"CYP2U1",0.511842659956937
"NCKAP5L",0.511320302960585
"DNAAF4",0.511151978329209
"PUM2",0.511
"TOP3A",0.511
"MAVS",0.510187366836644
"EPCAM",0.51
"LSM14A",0.51
"SLC9A8",0.51
"UPP1",0.51
"ZKSCAN3",0.51
"AC110079.1",0.509208637527244
"SAC3D1",0.509
"TCFL5",0.508969456940972
"SSBP1",0.508362285802912
"CHST6",0.508
"CTNND2",0.508
"HNRNPUL2-BSCL2",0.508
"PML",0.508
"RAD51-AS1",0.507575337425025
"DIAPH1",0.507170696086891
"TJP2",0.506885815595842
"GPKOW",0.506815386656953
"ZNF43",0.50674608017966
"VPS13D",0.506134640337027
"PPP1CC",0.504721435535935
"DDX31",0.504
"LDLRAD3",0.504
"HMGN1",0.503
"CADM1",0.502
"CEP164",0.502
"TSC2",0.502
"ACVR1B",0.501
"FBN3",0.501
"TSPAN2",0.501
"TLN1",0.500138393018207
"STXBP5",0.50002678592571
"SYNGAP1",0.5
"TTC23",0.5
"CHST7",0.499023561997843
"TC2N",0.498551524509954
"PPP4R4",0.498196730914966
"VAMP4",0.498108857104269
"NINL",0.497897615816768
"NHS",0.497442568048553
"TACC2",0.497
"ITPRID2",0.496589685952758
"CYB5R4",0.496467365783294
"GULP1",0.496
"GNAQ",0.495912994779132
"MAN2A2",0.495679862816172
"ZNF777",0.495592043677378
"DPM1",0.494
"HDAC9",0.493346982068571
"MINDY2",0.493
"AC091132.4",0.492510572831666
"ERLIN2",0.492169178719195
"STX2",0.49182755591913
"AL157778.1",0.491
"PHLDB1",0.491
"STAU1",0.491
"MARVELD2",0.490541357807884
"ZNF764",0.490272366518674
"DET1",0.490258062224789
"CYP2S1",0.49
"CMSS1",0.489
"MRPL39",0.489
"ADAM17",0.488
"CR2",0.488
"PUS1",0.488
"PPP4R3A",0.487758650511759
"KYAT3",0.487570586613816
"EEF2KMT",0.487
"AL358113.1",0.48621067409517
"ANKHD1",0.486
"SNHG5",0.486
"PARPBP",0.485
"PPIL3",0.485
"TFCP2",0.484
"ZNF268",0.484
"FAM193A",0.483960049205144
"CYB5R3",0.483560222452237
"BICDL1",0.483
"EML1",0.483
"PHF14",0.483
"UBP1",0.483
"E2F3",0.48203036555488
"KMT5B",0.482
"MIR924HG",0.481517684201915
"MEN1",0.481391351527537
"HSD17B4",0.481357462302141
"CRIM1",0.481
"GLYCTK",0.481
"WDR62",0.481
"PNPLA8",0.480865185588594
"MICALL1",0.480534356121646
"PACS1",0.480474158181328
"CALM2",0.48
"DUSP11",0.48
"PCNX2",0.48
"PHC3",0.479985246654996
"MPP1",0.479912265816551
"NOL10",0.479776421087622
"BBS9",0.479475335949058
"DIP2B",0.479473000438435
"ACTR1B",0.479
"Z83844.1",0.479
"BCL2L2-PABPN1",0.478355752118406
"NRXN2",0.478
"SHROOM2",0.47789384191605
"BCS1L",0.477
"TMTC4",0.477
"MRLN",0.476997752307983
"STX16-NPEPL1",0.476776015083143
"GALNT11",0.476
"ILF3",0.476
"MACROH2A1",0.476
"NEPRO",0.476
"PSMA3-AS1",0.476
"SLC12A9",0.476
"TEX261",0.476
"HTT",0.475
"KIAA1191",0.475
"LRSAM1",0.474825722271865
"AC009022.1",0.474081194171392
"TCTN3",0.474
"AC010186.2",0.473294479542417
"PHB2",0.472911903162169
"ANGEL2",0.472076473974865
"CHORDC1",0.472
"ENTPD6",0.472
"TRERF1",0.472
"NAGLU",0.471256134193673
"AC018630.2",0.471
"EML4",0.471
"RUNX1T1",0.471
"BLACAT1",0.470842235361799
"FHDC1",0.470436300817952
"ZNF664",0.470354001063587
"TXNL4B",0.470010270498503
"SPOPL",0.47
"ZNF749",0.469375863768982
"GRB10",0.468
"ZNF416",0.467260496735584
"UBQLN1",0.467
"ZNF384",0.467
"PLEKHA6",0.466
"SNRPN",0.466
"ZMYM1",0.466
"IGSF5",0.465464515613282
"FAM124A",0.465405393346524
"UBE2J2",0.465036382096849
"DNM2",0.465
"UGT8",0.465
"YTHDF1",0.465
"TCF12",0.464935154996255
"IMMP1L",0.464459432709331
"ADAM23",0.464
"NPHP3",0.464
"TRIQK",0.464
"AIFM1",0.463533065893625
"TBC1D8",0.463321177533731
"STYXL1",0.463
"MFSD14C",0.462817097229056
"TNRC6B",0.462591226895106
"BCLAF3",0.462071676751596
"MGRN1",0.462
"PI4KB",0.462
"TKFC",0.462
"TNIK",0.461617236544712
"KIRREL1",0.46145782633615
"GAS2L3",0.461382896172287
"PTPRA",0.461369272045211
"SLC11A2",0.461303753642899
"AC135586.2",0.461
"ARHGEF10L",0.461
"SEC31A",0.461
"VEZT",0.461
"TDRKH",0.460807488454152
"STK11IP",0.46030043619287
"BSCL2",0.46
"DDX50",0.46
"PRKCB",0.46
"WDR11",0.46
"ZNRD2",0.46
"DBP",0.459871536485086
"JAKMIP2-AS1",0.459515319829373
"MPZL1",0.459
"TMEM43",0.458949213173796
"SLC30A7",0.458684713629994
"NUP62",0.458
"SYN2",0.457594036696588
"PLEKHH3",0.457
"TMEM39B",0.457
"UBE3B",0.457
"ZSCAN31",0.457
"ARHGAP17",0.456
"PMS1",0.456
"PRKD3",0.454242392749098
"DBN1",0.454078672954453
"GUCD1",0.454
"SOCS7",0.454
"STIM2",0.453602475921314
"MARK2",0.453
"PBRM1",0.453
"LRRC8D",0.452407754368993
"EMSY",0.452
"FAM149B1",0.452
"FOXK1",0.452
"IMPA1",0.452
"NEU3",0.452
"PRRC2C",0.452
"RFC1",0.452
"SMAD4",0.452
"NR2C2",0.451696834793012
"SNTA1",0.451530056570391
"CDCA3",0.451
"GBF1",0.451
"RABGAP1L",0.451
"ZNF415",0.451
"LPCAT1",0.45062635138847
"DTX2P1-UPK3BP1-PMS2P11",0.450316747200193
"LPCAT4",0.45
"PROSER3",0.45
"NSUN6",0.449652306236493
"ERCC8",0.449
"SMARCB1",0.449
"FP565260.1",0.448827705019419
"SKP1",0.448061936104522
"SPATA5",0.447682428895543
"ALG8",0.447664807400904
"RBM19",0.447108987880842
"MED13L",0.447
"NPHP4",0.447
"SLC35B1",0.447
"SMPD4BP",0.447
"SNX7",0.446973902078921
"NPIPB3",0.446548542678432
"MSL2",0.44648620474434
"CD40",0.446
"FCHSD2",0.445921788031022
"DAAM1",0.445593478828894
"RRN3P2",0.445576879246177
"PDLIM5",0.445
"SKP2",0.445
"ATF6",0.444207728266063
"ZNF530",0.444
"GPM6B",0.443739059376292
"PARD3",0.443369215426581
"KDM5D",0.443298529985251
"ANKRA2",0.443264172110999
"SLC36A4",0.442718914916495
"FAM120A",0.442436329387849
"NBEA",0.442
"TCF4",0.44194732724324
"BRD2",0.441
"ENSA",0.441
"TBC1D14",0.44081605185507
"AC010522.1",0.44
"ATXN7",0.44
"ROBO1",0.44
"TTC39C",0.44
"ZKSCAN7",0.44
"ZNF646",0.439629520997025
"DEPDC5",0.439191512405813
"AKR1A1",0.439
"CEP95",0.439
"DENND5A",0.439
"SAFB",0.438571978584962
"TENM3",0.43834132360233
"PRUNE1",0.438
"SFXN2",0.438
"CSNK2A1",0.437834786123598
"TIMM23B-AGAP6",0.437477890610978
"PNISR",0.437027764753581
"AC104472.3",0.437
"AIP",0.437
"PPP2R5C",0.437
"TMTC2",0.437
"WDR25",0.437
"ADAL",0.436
"AGAP3",0.436
"CNOT1",0.436
"NCAPD3",0.435719728722451
"SUSD1",0.435616866663227
"NEDD4",0.435560365658571
"METAP1",0.435
"RIF1",0.435
"WNK1",0.435
"CNOT7",0.434702728663923
"DNAJC27",0.434
"PAQR3",0.434
"RPSA",0.434
"NPR2",0.433547003033131
"VWA8",0.43327818916268
"TNPO3",0.433267051744514
"IQCB1",0.433
"RMND5B",0.433
"TMEM131",0.433
"WNK3",0.432768361819955
"ATG16L2",0.432519172419979
"CDIP1",0.432431769860715
"VPS41",0.432053196950031
"AHSA2P",0.432
"FLAD1",0.432
"HIPK2",0.432
"MACF1",0.432
"XRN2",0.432
"KCNT2",0.431894122705765
"CBY1",0.431
"DCAF17",0.431
"ELP6",0.431
"PPFIA1",0.431
"ZNF687-AS1",0.430891140828627
"XRCC4",0.430751157303448
"ADAMTS12",0.43049091811211
"USP44",0.43018918537461
"NUBP2",0.43
"SSR1",0.43
"SPDL1",0.429964850014704
"AC138969.1",0.429545589614294
"MTRF1",0.429513418489002
"OSBPL6",0.429269971661572
"MADD",0.429
"PEX2",0.429
"SYNE4",0.429
"PLEKHG2",0.428917692306927
"SPIRE1",0.428470938594051
"AC020915.3",0.428046566707323
"CA14",0.428
"KCTD17",0.427895741572647
"CSNK1G1",0.427762407893724
"XRN1",0.427634662843587
"IRAK1BP1",0.427575322436977
"GDF11",0.427571302663261
"MANF",0.427268737498509
"SLC38A9",0.427
"CASP2",0.426645293102443
"PIGU",0.426523414260702
"DAGLB",0.426
"IQCK",0.426
"STRN",0.425840231668096
"ASTN2",0.425500506532436
"SYDE1",0.425429946385074
"SOCS6",0.425210481295038
"PKP4",0.425
"SCAP",0.425
"TARBP2",0.425
"UBL7",0.425
"SH3D21",0.42434449979267
"DNAH14",0.424
"SALL4",0.424
"TAF1A",0.424
"GTF2I",0.423790593247616
"FUCA1",0.423758862394622
"SDHAP3",0.423074905837883
"SLC43A1",0.423
"VWDE",0.423
"AF117829.1",0.422170474615843
"AMZ2",0.422
"P4HTM",0.422
"PRDM10",0.422
"FIGN",0.42154828832086
"BANP",0.421
"COA1",0.421
"USB1",0.421
"RHBDD3",0.420931847672978
"ICE2",0.420311508224663
"SH2B3",0.420202004503844
"STXBP4",0.420002652713349
"PLEKHA1",0.42
