"","dPSI_NGN2_2135644.1uM"
"RBCK1",0.362086630447915
"ANKRD10",0.361
"YPEL5",0.36
"DECR2",0.358915753092902
"MEMO1",0.358
"PACRGL",0.357387324567303
"KAT6B",0.357
"THADA",0.357
"CHD9",0.355
"NUP85",0.355
"SLC7A6",0.354
"TTC7B",0.353228385496629
"MGRN1",0.353
"MAPK10",0.351
"UFD1",0.351
"NR6A1",0.348761417569661
"CEP164",0.348
"DCUN1D4",0.348
"RAB23",0.347152960266897
"CLEC16A",0.347
"RRNAD1",0.347
"RICTOR",0.346750633110706
"EXTL2",0.345964041026782
"FAM81A",0.345381053419468
"FBXO38",0.345
"MFF",0.344
"EBAG9",0.343900997182974
"SMC6",0.343872239576792
"CBWD4P",0.343314761671669
"KIAA1109",0.342755087262754
"CCDC93",0.342708847258597
"PEPD",0.342
"COP1",0.341
"SSBP1",0.341
"MRPL16",0.340306377805429
"DGKZ",0.34
"DUS4L-BCAP29",0.337627517265562
"GTPBP8",0.337
"SUZ12P1",0.337
"PTPRO",0.336750147076445
"CCNT2",0.336390761373372
"QKI",0.336066355202775
"DHRS1",0.336
"AKAP8L",0.333536045143582
"DLGAP4",0.331
"WDR37",0.33
"PHGDH",0.328979855485768
"PPHLN1",0.328
"AL157778.1",0.327833856619619
"DPY19L2P2",0.326452473557354
"FGF9",0.326154612153973
"STAT1",0.326
"BICD1",0.324554393813306
"GPHN",0.324
"KLHL4",0.324
"MRPL39",0.323
"LATS1",0.322667903267312
"RNPEP",0.322298497760841
"FBL",0.321992452828075
"RNF130",0.321
"MRPL22",0.318
"NQO2",0.317
"NUDT22",0.317
"CBWD6",0.316747417814877
"CMSS1",0.316
"ERC2",0.316
"MARCHF8",0.31598334387773
"CCNB1IP1",0.315041101128492
"PIGU",0.314143927697901
"ILK",0.314
"ZDHHC13",0.314
"DOT1L",0.313174377776524
"GGCT",0.313
"MYCBP2",0.313
"GATD1",0.312
"STRN3",0.312
"CDK5RAP3",0.311
"GARNL3",0.311
"SPTLC1",0.311
"CNOT7",0.309537410912176
"RAB8B",0.309046111152746
"FHOD3",0.309
"SLC25A36",0.308614509700776
"ODF2L",0.306
"GIT2",0.30545538922783
"SNHG16",0.304
"ZNF707",0.301462943509201
"WNK3",0.30121465121268
"CEP41",0.300642708007425
"GARS1-DT",0.299551717344269
"CACNA2D1",0.299371939319422
"PCID2",0.298752312516295
"AVL9",0.29845150215508
"ATF6",0.298324873199618
"FAM168B",0.297987338370448
"AC104009.1",0.293971381967509
"NRSN2-AS1",0.292374764579688
"CAMK2B",0.292180929701405
"BCL9",0.292055369350193
"DGKB",0.291068076081695
"CDKAL1",0.287770939999132
"NCOA6",0.287074339615022
"EP300",0.286678296294786
"ALOX15P1",0.28558216395196
"ADAM22",0.284675188719232
"KIF1A",0.283811737988808
"MAP2",0.28264457388092
"ZNF548",0.279732983055739
"PIK3R1",0.27805775838181
"TMEM18",0.275680176839944
"KANSL3",0.274969371228006
"CWC27",0.273444641032329
"SRGAP1",0.270177609085148
"ZNF334",0.268159578501001
"SYN3",0.267596162679134
"CTNS",0.267469840831325
"PRDX4",0.267087648389778
"C1orf21",0.267046248023834
"FNDC3A",0.264322844874754
"FIGNL1",0.262783731893881
"RBFOX1",0.262627933068658
"MTHFSD",0.262572413661548
"NF1",0.26192142541277
"TPP2",0.261828704271441
"DPYSL5",0.260981451064677
"SF3B3",0.260458855238519
"CNTN1",0.259819319720647
"TIAL1",0.257824761814692
"ASB13",0.256875762492403
"NR2C2",0.256198956598857
"ZNF675",0.255444460853335
"NKAIN2",0.252682556868353
"CDH18",0.252674875446472
"PPP6C",0.252491326491655
"LINC00630",0.251513143555125
"EIF1AD",0.251037551710866
