Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
ACOT2,0.28522264905061,0.287629899975922,NA,0.301293453034627,NA,0.280267546515759,NA,0.269374835294607,0.280104932218912,0.272010424270516
ACOT8,0.365330065384636,0.285033763901504,0.325419629287451,0.352465294786572,NA,0.305858454503025,0.318846901188706,0.283331540093197,0.274975948643421,0.270593090105445
ACOX1,NA,NA,NA,NA,0.252480867077732,NA,NA,NA,NA,NA
ACSF2,-0.305836952568317,NA,-0.252155185649667,NA,NA,-0.286323947140678,NA,-0.265440324976874,NA,-0.277788247439011
ACSS3,-0.433743996865251,-0.450196522839067,-0.354378797810815,-0.43083502669663,-0.319275891775981,-0.305300066478141,-0.351362505284472,-0.434229159666494,-0.340009965134282,-0.363416171357022
ACTN2,NA,NA,0.251235848847635,NA,NA,NA,NA,NA,NA,NA
ACTR3B,-0.292334748489532,-0.348528801959269,-0.317740702363319,-0.298530886551505,-0.273592644566436,-0.276924120220768,-0.297449319751535,NA,-0.291960871123661,NA
ADAM11,0.330251231960022,0.297225505451368,0.277225102716461,0.375689994689064,NA,NA,0.312076803687288,0.293339015832155,NA,0.282236248125547
ADAM15,NA,NA,NA,NA,NA,NA,-0.310641504682392,NA,NA,NA
ADAM17,NA,NA,0.263284667060466,0.268497573842534,NA,NA,0.257116364054533,NA,0.250762284600916,NA
ADAMTS19,NA,NA,NA,-0.32153949494304,-0.372907253601271,NA,0.315133336142445,NA,-0.46840690407823,-0.408040484941715
ADAMTS20,NA,NA,-0.251804042616954,NA,NA,NA,NA,NA,NA,-0.347926129319232
ADGRV1,0.432693753157949,NA,NA,NA,NA,NA,NA,NA,NA,-0.353272509000784
ADPRM,0.385207981890783,0.430780561805415,0.390669964353228,0.474605760485103,0.498735425040191,0.426366253846843,0.523564027242005,0.48269124544577,0.378206328171176,0.446206973121615
ADSS1,0.279511931241801,0.298248360827339,NA,NA,NA,0.350471369615948,NA,NA,0.250507404669978,NA
AGAP12P,NA,NA,NA,NA,NA,NA,-0.305825587497519,NA,NA,NA
AGBL5,NA,NA,NA,NA,NA,NA,NA,-0.293919101372396,NA,NA
AGFG2,NA,NA,NA,NA,NA,NA,NA,-0.294235456603197,-0.257128468031562,NA
AGO3,0.294639241790273,-0.317638161854678,-0.332422304799862,-0.298092541507432,0.260827453559457,-0.39424308085535,-0.38766278315833,-0.308999473302517,-0.353799694502156,-0.307370175538896
AGPAT3,NA,NA,NA,0.253459074446283,NA,NA,NA,NA,NA,NA
AGPAT4,NA,0.303800232617393,-0.278204629241527,0.261427979200397,0.255056344790883,0.329615397159116,0.272341641208584,0.320188982132737,0.293014674877126,0.276005521148955
AGPS,NA,NA,NA,NA,-0.265383172219725,NA,NA,NA,NA,NA
AHDC1,NA,NA,NA,NA,0.274410546410154,NA,NA,NA,NA,NA
