"","X","dPSI_iPSC_1755497_3x","X","dPSI_iPSC_2006152_3x","X","dPSI_iPSC_2189972_3x","X","dPSI_iPSC_2194943_3x","X","dPSI_iPSC_2195127_3x","X","dPSI_iPSC_2195327_3x","X","dPSI_iPSC_2197294_3x","X","dPSI_NGN2_1755497_3x","X","dPSI_NGN2_2006152_3x","X","dPSI_NGN2_2189972_3x","X","dPSI_NGN2_2194943_3x","X","dPSI_NGN2_2195127_3x","X","dPSI_NGN2_2195327_3x","X","dPSI_NGN2_2197294_3x","X","dPSI_Sy5Y_1755497_3x","X","dPSI_Sy5Y_2006152_3x","X","dPSI_Sy5Y_2189972_3x","X","dPSI_Sy5Y_2194943_3x","X","dPSI_Sy5Y_2195127_3x"
"23","LRRC42",0.305,"CLK4",0.314,"SENP6",0.365643933646355,NA,NA,"TAF2",0.307,"ERICH5",0.337,"TAF2",0.307889780577314,"RAB3IP",0.515,"WDR17",0.435,"PHOX2B-AS1",0.38745820186305,"ZFP82",0.392909591465192,"ABCB8",0.368,"NUDT22",0.355,"STRN3",0.362,"LRRC42",0.346,"LINC02210",0.490890690080657,"IL17RC",0.41063611562569,"ZNF37BP",0.299149340011315,"ERGIC3",0.499
"24",NA,NA,"KDM6A",0.313,"IFT27",0.364,NA,NA,"AC138894.1",0.302,"LRRC42",0.337,"NAV2",0.306,"RAF1",0.515,"TMEM116",0.42,"LINC00963",0.377,"AXIN1",0.39,"EXOC6B",0.366850635763778,"SNHG12",0.35,"CLASP2",0.359244577808799,"TAF2",0.344,"WDR17",0.482,"WDR27",0.404090968878035,"KDM6A",0.296330849670458,"TAF2",0.493
"25",NA,NA,"MADD",0.311,"ZFP82",0.359380654407033,NA,NA,"NUP58",0.301450923380423,"RASSF8-AS1",0.334,"ZFP82",0.278279551852476,"LINC02210",0.513586377370662,"GALC",0.419399824587915,"ZFP82",0.354654895579421,"TRIM65",0.377,"SNHG17",0.366,"DHFR",0.349881467797111,"ZFP82",0.355037980679646,"ZNF37BP",0.33902617770463,"EVC",0.476382586202715,"AL713999.1",0.388405033141733,"SLC25A17",0.286207269105665,"DUXAP9",0.491485511338911
"26",NA,NA,"STRN3",0.307,"SKP1",0.35,NA,NA,"PILRB",0.3,"PIGN",0.319,NA,NA,"PHOX2B-AS1",0.509192435085456,"ZNF730",0.416279398519957,"ADAM17",0.348708163066204,"RAF1",0.37,"MANBA",0.364,"DLGAP4",0.345,"AXIN1",0.349,"LYRM1",0.327,"EHHADH",0.468,"MADD",0.377,"SMN2",0.269551079195022,"EVC",0.49118225300785
"27",NA,NA,"TAF2",0.301,"VDAC1P8",0.348,NA,NA,"STRN3",0.3,"HMGN1",0.312,NA,NA,"DHFR",0.492584263001682,"DHFR",0.409519408997781,"STXBP5L",0.3421714261198,"TAF2",0.37,"TAF2",0.363,"AXIN1",0.337,"LINC00963",0.341,"PIGN",0.324,"OCLNP1",0.465997853035989,"BPHL",0.373,"ENAH",0.252791398503281,"NCAM1",0.475304006404959
"28",NA,NA,"MATK",0.296390944012865,"GUSBP11",0.344,NA,NA,"FAAP20",0.264959634049024,"AMT",0.311,NA,NA,"MANBA",0.487,"STRN3",0.407,"DLGAP4",0.333,"LARP7",0.369,"ZMYM6",0.362075734466091,"LRRC42",0.336,"TAF2",0.341,"PDE7A",0.32,"ZNF37BP",0.465684333378493,"ABCB8",0.364,NA,NA,"TPTEP2",0.45974223654896
"29",NA,NA,"ZFP82",0.263971879679987,"JMJD7-PLA2G4B",0.339,NA,NA,"SENP6",0.261386758020393,"STRN3",0.307,NA,NA,"MIR100HG",0.477,"DLGAP4",0.402,"RAF1",0.332,"AC138894.1",0.36,"TRIM65",0.353,"PDE7A",0.336,"STXBP5L",0.340583632508193,"RAB3IP",0.316,"SMN1",0.462901443137618,"C14orf132",0.358850135312591,NA,NA,"PNISR",0.458667708307046
"30",NA,NA,"KRT8",0.254695125860401,"XPO1",0.335,NA,NA,"GXYLT1",0.261279410441801,"RPS3",0.300190544441643,NA,NA,"TRAPPC13",0.471,"PDE7A",0.398,"AXIN1",0.329,"TENT2",0.357425110444275,"RAF1",0.335,"STXBP5L",0.333053860274539,"LRP8",0.338,"SORBS3",0.316,"HTT",0.453383055944313,"VPS29",0.343,NA,NA,"CHRM2",0.457850636431131
"31",NA,NA,"DLGAP4",0.253193379897018,"STRN3",0.319,NA,NA,"PNISR",0.258719938169401,"ZFP82",0.298151209102216,NA,NA,"GXYLT1",0.467582761690686,"ABCB8",0.395,"TAF2",0.329,"RAPGEF1",0.356,"KLHL1",0.334278213535935,"ADAM17",0.331640358274025,"AC138894.1",0.333,"MADD",0.315048291943989,"LARP7",0.451,"HARS1",0.341,NA,NA,"WDR17",0.446
"32",NA,NA,NA,NA,"MUC3A",0.318,NA,NA,NA,NA,"NUP58",0.286550823119705,NA,NA,"ZMYM6",0.463945175790077,"TAF2",0.394,"ENAH",0.327947332086431,"WDR27",0.349,"SULF1",0.329646600535198,"WDR27",0.32272783669531,"DLGAP4",0.312,"LINC02210",0.314142002419128,"TAF2",0.448,"LINC02210",0.339538835387382,NA,NA,"VPS29",0.435
